proton 	938.272 	2.74618  1  -4861.94  10517
Mg25 	23268 	0.119989  1  -4861.94  10520
Mg24 	22335.8 	0.16384  1  -125.675  5234
O16 	14895.1 	0.331676  1  3875.95  1123
Mg26 	24196.5 	1.3238  1  4874.34  115
Mg24 	22335.8 	0.20297  1  -4084.2  9673
N14 	13040.2 	0.0448626  1  2507.17  2578
Mg24 	22335.8 	0.354216  1  -3558.58  9034
Al28 	26058.3 	0.173473  1  -4726.57  10419
Mg24 	22335.8 	0.136187  1  3610.02  1406
Mg24 	22335.8 	0.236508  1  2174.49  2951
Mg24 	22335.8 	0.147529  1  -4921.94  10436
Si28 	26053.2 	0.140059  1  -3636.05  8947
Mg24 	22335.8 	0.227176  1  -541.126  5687
C12 	11174.9 	2.43823  1  -4522.28  10155
Na24 	22341.8 	0.194651  1  -4691.23  10136
Si28 	26053.2 	0.135426  1  -3870.04  9263
Mg24 	22335.8 	0.272939  1  568.747  4733
O16 	14895.1 	0.192867  1  -2679.13  8135
O16 	14895.1 	0.35453  1  -3162.5  8652
O16 	14895.1 	0.351608  1  -1460.29  6682
O16 	14895.1 	0.198371  1  -2447.73  7771
O16 	14895.1 	0.190312  1  4331.22  717
Mg24 	22335.8 	0.176915  1  4951.9  42
Mg24 	22335.8 	0.202177  1  3951.73  1039
O16 	14895.1 	0.360314  1  965.458  4284
O16 	14895.1 	0.194811  1  -4166.38  9621
O16 	14895.1 	0.474074  1  318.726  4881
Si28 	26053.2 	0.122972  1  -825.701  6137
Na24 	22341.8 	0.214089  1  -4602.71  10031
Mg25 	23268 	0.247569  1  -4745.81  10100
Si28 	26053.2 	0.430971  1  2611.51  2541
O16 	14895.1 	0.223075  1  -4758.41  10233
O16 	14895.1 	0.373049  1  1831.21  3431
Mg24 	22335.8 	0.13116  1  -46.3576  5279
O16 	14895.1 	0.22067  1  -1709.22  7028
Mg24 	22335.8 	0.153973  1  -3882.68  9301
Al28 	26058.3 	0.16499  1  -4072.77  9584
Si28 	26053.2 	0.259192  1  -842.263  6089
O16 	14895.1 	0.426915  1  -3608.37  8950
O16 	14895.1 	0.286763  1  1473.65  3601
Na24 	22341.8 	0.194058  1  -4181.69  9715
Fe56 	52089.8 	0.121238  1  3478.57  1545
O16 	14895.1 	0.291404  1  -794.117  6071
Mg24 	22335.8 	0.130354  1  3501.57  1580
Mg24 	22335.8 	0.14742  1  -785.302  6024
Fe56 	52089.8 	0.189901  1  -3287.72  8727
Mg24 	22335.8 	0.125591  1  -406.765  5748
O16 	14895.1 	0.263629  1  -4096.1  9590
Al28 	26058.3 	0.0879708  1  -4810.75  10457
O16 	14895.1 	0.198941  1  -1625.12  6964
Mg24 	22335.8 	0.200396  1  2232.88  2888
Mg25 	23268 	0.267372  1  -3011.79  8329
Si28 	26053.2 	0.194628  1  -2744.27  8121
Mn56 	52094 	0.0908802  1  -4853.06  10571
Si28 	26053.2 	0.117127  1  3023.3  2014
O16 	14895.1 	0.416586  1  4949.41  43
O16 	14895.1 	0.233721  1  -3473.9  8869
O16 	14895.1 	0.412654  1  -2660.39  7937
Mg24 	22335.8 	0.243602  1  782.379  4488
O16 	14895.1 	0.335172  1  -1400.46  6671
Mg25 	23268 	0.245899  1  -3735.27  9134
proton 	938.272 	4.05722  1  -4847.3  10412
Mg26 	24196.5 	1.68007  1  -4847.3  10415
Mg24 	22335.8 	0.276301  1  2095.28  3039
O16 	14895.1 	0.763468  1  -2230.76  7538
Mg24 	22335.8 	0.127808  1  -824.372  5981
O16 	14895.1 	0.197282  1  -2496.36  7830
Mg24 	22335.8 	0.155522  1  -3311.03  8534
Al27 	25126.5 	0.384065  1  -4068.43  9796
proton 	938.272 	186.835  1  -3315.33  8613
Al27 	25126.5 	0.364023  1  -3315.33  8617
O16 	14895.1 	0.321405  1  3714.57  1320
O16 	14895.1 	0.230018  1  -18.183  5293
O16 	14895.1 	0.248628  1  4506.61  508
Si28 	26053.2 	1.35777  1  2690.46  2430
Si28 	26053.2 	0.624226  1  -3029.81  8318
O16 	14895.1 	0.398068  1  -3941.43  9126
O16 	14895.1 	0.336697  1  -2024.04  7420
Mg25 	23268 	0.338125  1  617.089  4575
proton 	938.272 	365.876  1  3190.66  1903
O15 	13971.2 	0.204923  1  3190.66  1906
N14 	13040.2 	0.371233  1  -4389.46  9932
Mg24 	22335.8 	0.240011  1  2074.16  3028
Mg24 	22335.8 	0.129259  1  2109.14  3008
O16 	14895.1 	0.476325  1  -1571.38  6905
Mg24 	22335.8 	0.129007  1  3492.03  1662
O16 	14895.1 	1.61109  1  91.1289  5180
Mg24 	22335.8 	0.135457  1  -1003.4  6100
Mn56 	52094 	0.0781222  1  -4055.53  9713
Mg24 	22335.8 	0.318694  1  482.513  4671
Mg24 	22335.8 	0.603423  1  -3689.21  9000
O16 	14895.1 	0.328549  1  2610.64  2445
O16 	14895.1 	0.287828  1  -4948.43  10294
proton 	938.272 	1.4294  1  3788.97  1282
C14 	13040.9 	0.639546  1  3788.97  1284
Mg25 	23268 	0.130234  1  3492.82  1568
Fe56 	52089.8 	0.0846383  1  4018.06  1042
Mg24 	22335.8 	0.188013  1  1900.56  3247
Mg24 	22335.8 	0.185321  1  4911.57  106
Mg24 	22335.8 	0.13382  1  4255.94  806
Si28 	26053.2 	0.138077  1  -2433.93  7762
O16 	14895.1 	0.377568  1  2755.03  2393
O16 	14895.1 	0.600291  1  4237.93  783
O16 	14895.1 	5.50154  1  899.87  4271
Mg24 	22335.8 	0.222856  1  -2518.03  7802
O16 	14895.1 	0.235165  1  -2790.79  8070
Si28 	26053.2 	0.108243  1  4593.59  423
Si30 	27913.2 	0.180094  1  4846.33  146
O16 	14895.1 	0.228907  1  -3410.55  8776
O16 	14895.1 	0.22031  1  -711.919  6029
Fe56 	52089.8 	0.0852798  1  4813.18  181
Cr51 	47442.5 	0.939428  1  -3134.97  8677
Fe56 	52089.8 	0.0613664  1  -2120.47  7660
Mg25 	23268 	0.258165  1  1554.33  3579
Mg24 	22335.8 	0.194229  1  -3421.85  8834
