proton 	938.272 	2.93608  1  -588.439  6194
Na23 	21409.2 	0.0813373  1  -588.439  6199
Al27 	25126.5 	0.272779  1  -404.692  5837
O16 	14895.1 	0.431751  1  4489.35  552
Al28 	26058.3 	0.165883  1  -774.889  6335
Al28 	26058.3 	0.178589  1  -780.084  6227
Na24 	22341.8 	0.209231  1  -1036.77  6528
proton 	938.272 	4.4859  1  -705.053  6171
Cr52 	48370 	0.398426  1  -705.053  6176
proton 	938.272 	4.30858  1  -911.897  6408
Mg26 	24196.5 	0.113654  1  -911.897  6413
O16 	14895.1 	0.203829  1  770.367  4490
Mg24 	22335.8 	0.29918  1  4636.8  402
N15 	13968.9 	0.323953  1  -482.356  5936
O16 	14895.1 	1.0525  1  3161.3  1874
Fe56 	52089.8 	0.0595431  1  1721.74  3441
Na26 	24206.4 	0.18724  1  -678.726  6095
proton 	938.272 	8.43059  1  -49.284  5398
Ne23 	21414.1 	0.359136  1  -49.284  5401
Ne20 	18617.7 	0.808384  1  -190.977  5548
proton 	938.272 	8.09619  1  -858.75  6225
Cr53 	49301.7 	0.157165  1  -858.75  6229
Al28 	26058.3 	0.187498  1  -374.816  5678
Al28 	26058.3 	0.191013  1  -887.843  6204
Na23 	21409.2 	0.247616  1  -692.436  6118
Na24 	22341.8 	0.185434  1  -957.06  6548
proton 	938.272 	6.27152  1  -823.045  6127
proton 	938.272 	5.84168  1  -823.045  6128
alpha 	3727.38 	8.46146  1  -823.045  6131
F21 	19556.7 	1.76436  1  -823.045  6132
O16 	14895.1 	0.389268  1  833.191  4463
Mg24 	22335.8 	0.132084  1  4056.56  985
Al28 	26058.3 	0.187132  1  -653.831  6087
proton 	938.272 	1.5942  1  -518.555  6057
alpha 	3727.38 	4.81121  1  -518.555  6060
Ne22 	20479.7 	1.67758  1  -518.555  6061
Na23 	21409.2 	0.258595  1  -694.809  6045
Mg24 	22335.8 	0.183058  1  3703.81  1372
proton 	938.272 	2.66492  1  -946.803  6359
Ne22 	20479.7 	0.230716  1  -946.803  6360
C12 	11174.9 	1.73861  1  -727.872  6179
Mg24 	22335.8 	0.762365  1  4372.04  630
Na24 	22341.8 	0.2  1  -775.167  6320
proton 	938.272 	2.72697  1  -823.752  6396
Mg26 	24196.5 	0.0959083  1  -823.752  6398
N16 	14906 	0.290762  1  -155.043  5715
Mn54 	50232.4 	0.101226  1  -677.401  6313
proton 	938.272 	6.2686  1  -748.984  6187
proton 	938.272 	5.52131  1  -748.984  6189
F20 	18625.3 	0.642415  1  -748.984  6193
Si28 	26053.2 	0.414597  1  1903.27  3191
proton 	938.272 	3.40682  1  -830.083  6243
Mg26 	24196.5 	0.548995  1  -830.083  6247
proton 	938.272 	5.82981  1  -997.243  6421
Ne20 	18617.7 	1.89937  1  -997.243  6427
O16 	14895.1 	1.57558  1  2001.48  3106
proton 	938.272 	2.88974  1  -668.309  6126
Ne22 	20479.7 	0.259561  1  -668.309  6129
Al28 	26058.3 	0.18014  1  -695.884  6070
N15 	13968.9 	0.338805  1  -914.709  6284
proton 	938.272 	11.1234  1  -774.458  6220
C13 	12109.5 	0.295006  1  -774.458  6223
Si28 	26053.2 	0.141517  1  1086.76  4188
Mg24 	22335.8 	0.19014  1  4977.34  19
Al28 	26058.3 	0.169376  1  -543.276  5871
Al27 	25126.5 	0.0959963  1  -572.385  6201
Mg24 	22335.8 	0.129003  1  -272.274  5422
Na24 	22341.8 	0.21696  1  -338.505  5669
