O16 	14895.1	0.337261  1  -890.966  6043
O16 	14895.1	0.446365  1  -3686.89  8924
O16 	14895.1	0.223937  1  -3141.51  8426
O16 	14895.1	0.235105  1  4916.36  75
O16 	14895.1	0.222504  1  3269.6  1826
O16 	14895.1	0.215106  1  4584.95  406
proton 	938.272	353.871  1  -439.025  5797
proton 	938.272	70.9187  1  -439.025  5798
proton 	938.272	57.9572  1  -439.025  5799
C12 	11174.9	6.73365  1  -439.025  5805
Si28 	26053.2	0.49713  1  -2420.11  7818
Mg24 	22335.8	0.231623  1  3033.02  2037
Fe56 	52089.8	0.0717855  1  2819.52  2298
Mg24 	22335.8	1.28423  1  -423.093  5697
O16 	14895.1	0.27784  1  4046.24  1007
Mg24 	22335.8	1.08056  1  2711.86  2417
Mg24 	22335.8	0.185792  1  3737.65  1314
O16 	14895.1	1.14306  1  3485.28  1575
O16 	14895.1	0.836315  1  -4117.59  9604
Mg24 	22335.8	0.138903  1  665.11  4456
Mg24 	22335.8	0.137446  1  295.376  5000
Si28 	26053.2	0.268175  1  -3474.28  8785
O16 	14895.1	0.37118  1  -4106.06  9498
O16 	14895.1	0.511055  1  1910.01  3175
Si28 	26053.2	0.12967  1  1049.39  4258
proton 	938.272	65.896  1  4097.07  967
proton 	938.272	39.8794  1  4097.07  968
proton 	938.272	40.9848  1  4097.07  969
alpha 	3727.38	1.4331  1  4097.07  972
Li7 	6533.83	4.0002  1  4097.07  973
O16 	14895.1	1.89709  1  -3582.34  8928
O16 	14895.1	0.239326  1  1531.99  3587
Mg24 	22335.8	0.483764  1  3392.7  1655
Mg26 	24196.5	0.126933  1  -2669.24  8083
O16 	14895.1	0.503929  1  -2199.29  7517
O16 	14895.1	0.299291  1  -4030.42  9439
Fe56 	52089.8	0.169523  1  -2645  7964
Si28 	26053.2	0.310266  1  3080.38  2000
Si28 	26053.2	0.257936  1  1621.59  3539
O16 	14895.1	0.387347  1  -1461.44  6796
O16 	14895.1	0.24847  1  3074.73  2029
Mg24 	22335.8	0.168343  1  -2710.17  8054
Si28 	26053.2	0.502983  1  4574.46  425
proton 	938.272	2387.21  1  1520.22  3604
proton 	938.272	1688.35  1  1520.22  3605
C14 	13040.9	0.837537  1  1520.22  3608
Fe54 	50231.2	0.0563834  1  -3691  9110
proton 	938.272	196.938  1  3047.18  1998
proton 	938.272	2.26656  1  3047.18  2001
alpha 	3727.38	7.15257  1  3047.18  2003
alpha 	3727.38	3.42078  1  3047.18  2004
alpha 	3727.38	2.21129  1  3047.18  2005
Mg25 	23268.0	0.220388  1  243.235  4940
Mg24 	22335.8	0.23481  1  4928.94  74
O16 	14895.1	0.375735  1  -4801.44  10542
Mg24 	22335.8	0.299932  1  3482.28  1485
O16 	14895.1	0.40491  1  3450.83  1518
O16 	14895.1	0.190549  1  -164.213  5472
proton 	938.272	2.55028  1  -4460.7  9859
N13 	12111.2	2.33901  1  -4460.7  9860
Mg24 	22335.8	0.134228  1  179.636  5065
O16 	14895.1	0.828831  1  -1113.97  6284
Mg24 	22335.8	0.193623  1  -468.011  5650
Mg24 	22335.8	0.330475  1  -2278  7674
O16 	14895.1	0.256031  1  -4809.59  10345
Mg24 	22335.8	0.327199  1  1181.26  3991
Mg24 	22335.8	0.132735  1  3168.01  1883
Mg24 	22335.8	0.186292  1  -1431.36  6613
Si28 	26053.2	0.131499  1  4175.15  871
Si28 	26053.2	0.125529  1  1086.18  4178
Si28 	26053.2	0.212045  1  1113.83  4109
O16 	14895.1	0.504412  1  4167.17  921
Mg24 	22335.8	0.189628  1  250.472  5021
O16 	14895.1	0.275723  1  -2182.66  7574
O16 	14895.1	0.359861  1  826.319  4320
Mg24 	22335.8	0.137315  1  -4310.59  9722
Si28 	26053.2	0.131022  1  3001.6  2156
proton 	938.272	276.135  1  -3966.69  9342
proton 	938.272	5.75534  1  -3966.69  9346
Ne20 	18617.7	6.45297  1  -3966.69  9350
O16 	14895.1	0.209481  1  -3990.28  9487
Mg25 	23268.0	0.25175  1  3612.49  1461
Si28 	26053.2	0.134543  1  -1094.38  6297
O16 	14895.1	0.377224  1  -2679.79  7947
O16 	14895.1	0.196617  1  3674.94  1417
O16 	14895.1	0.331532  1  -898.689  6230
Si28 	26053.2	0.118647  1  223.886  5005
O16 	14895.1	0.453019  1  50.6954  5183
Si28 	26053.2	0.169415  1  1268.59  3819
Fe56 	52089.8	0.115515  1  503.14  4690
proton 	938.272	2.68451  1  -2532.22  7961
Na22 	20482.1	0.337486  1  -2532.22  7962
Fe56 	52089.8	0.147795  1  -3401.3  8627
Mg25 	23268.0	0.79298  1  3173.29  1986
Mg24 	22335.8	0.13004  1  3114.89  2044
O16 	14895.1	0.726551  1  1897.21  3312
proton 	938.272	3.00578  1  -2697.72  8105
N14 	13040.2	1.22761  1  -2697.72  8109
Mg24 	22335.8	0.21552  1  -3838.27  9273
Mg24 	22335.8	0.128454  1  1518.41  3687
Mg24 	22335.8	0.154506  1  -867.176  6246
Mg24 	22335.8	0.373347  1  2052.88  3129
proton 	938.272	96.7038  1  490.347  4804
proton 	938.272	11.3649  1  490.347  4807
proton 	938.272	5.11548  1  490.347  4808
alpha 	3727.38	5.18143  1  490.347  4812
Be8 	7454.85	3.37188  1  490.347  4813
O16 	14895.1	0.198727  1  812.474  4428
proton 	938.272	102.936  1  4243.25  793
proton 	938.272	17.9478  1  4243.25  795
alpha 	3727.38	6.61197  1  4243.25  801
alpha 	3727.38	14.3773  1  4243.25  802
Mg24 	22335.8	0.150879  1  -153.196  5444
Mg24 	22335.8	0.129279  1  1518.71  3661
O16 	14895.1	0.446725  1  -1482.72  6859
Fe56 	52089.8	0.133661  1  4366.67  749
Fe56 	52089.8	0.460356  1  3211.73  1882
