 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in Ca- P- O- F-Cl- O- H.txt

 Ion = Argon [18] , Mass = 39,962 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   3,717E+03  5,547E+01    2,90 um     2248 A      2823 A   
   7,00 MeV   3,884E+03  5,235E+01    3,03 um     2273 A      2871 A   
   8,00 MeV   4,193E+03  4,715E+01    3,27 um     2329 A      2955 A   
   9,00 MeV   4,470E+03  4,296E+01    3,50 um     2375 A      3025 A   
  10,00 MeV   4,715E+03  3,951E+01    3,71 um     2415 A      3086 A   
  11,00 MeV   4,931E+03  3,661E+01    3,91 um     2450 A      3140 A   
  12,00 MeV   5,121E+03  3,414E+01    4,11 um     2481 A      3188 A   
  13,00 MeV   5,288E+03  3,201E+01    4,30 um     2509 A      3231 A   
  14,00 MeV   5,435E+03  3,015E+01    4,49 um     2535 A      3270 A   
  15,00 MeV   5,563E+03  2,850E+01    4,67 um     2559 A      3306 A   
  16,00 MeV   5,677E+03  2,705E+01    4,84 um     2581 A      3340 A   
  17,00 MeV   5,776E+03  2,574E+01    5,02 um     2602 A      3371 A   
  18,00 MeV   5,863E+03  2,457E+01    5,19 um     2622 A      3401 A   
  20,00 MeV   6,006E+03  2,253E+01    5,52 um     2681 A      3455 A   
  22,50 MeV   6,138E+03  2,045E+01    5,93 um     2760 A      3516 A   
  25,00 MeV   6,230E+03  1,874E+01    6,33 um     2833 A      3571 A   
  27,50 MeV   6,291E+03  1,731E+01    6,73 um     2902 A      3622 A   
  30,00 MeV   6,329E+03  1,610E+01    7,13 um     2968 A      3669 A   
  32,50 MeV   6,349E+03  1,506E+01    7,52 um     3031 A      3713 A   
  35,00 MeV   6,356E+03  1,416E+01    7,91 um     3093 A      3755 A   
  37,50 MeV   6,352E+03  1,336E+01    8,30 um     3153 A      3796 A   
  40,00 MeV   6,340E+03  1,265E+01    8,70 um     3211 A      3835 A   
  45,00 MeV   6,298E+03  1,146E+01    9,48 um     3418 A      3909 A   
  50,00 MeV   6,240E+03  1,048E+01   10,28 um     3615 A      3980 A   
  55,00 MeV   6,173E+03  9,666E+00   11,08 um     3805 A      4047 A   
  60,00 MeV   6,099E+03  8,976E+00   11,90 um     3990 A      4113 A   
  65,00 MeV   6,023E+03  8,384E+00   12,72 um     4171 A      4178 A   
  70,00 MeV   5,945E+03  7,870E+00   13,55 um     4348 A      4242 A   
  80,00 MeV   5,790E+03  7,019E+00   15,26 um     4993 A      4367 A   
  90,00 MeV   5,655E+03  6,344E+00   17,00 um     5592 A      4490 A   
 100,00 MeV   5,477E+03  5,793E+00   18,80 um     6161 A      4614 A   
 110,00 MeV   5,326E+03  5,336E+00   20,65 um     6713 A      4738 A   
 120,00 MeV   5,185E+03  4,949E+00   22,55 um     7250 A      4864 A   
 130,00 MeV   5,054E+03  4,617E+00   24,50 um     7776 A      4992 A   
 140,00 MeV   4,931E+03  4,330E+00   26,50 um     8293 A      5122 A   
 150,00 MeV   4,815E+03  4,078E+00   28,55 um     8803 A      5253 A   
 160,00 MeV   4,706E+03  3,855E+00   30,65 um     9308 A      5388 A   
 170,00 MeV   4,604E+03  3,657E+00   32,79 um     9808 A      5524 A   
 180,00 MeV   4,507E+03  3,479E+00   34,99 um     1,03 um     5663 A   
 200,00 MeV   4,328E+03  3,173E+00   39,51 um     1,22 um     5949 A   
 225,00 MeV   4,127E+03  2,862E+00   45,42 um     1,48 um     6321 A   
 250,00 MeV   3,948E+03  2,609E+00   51,61 um     1,72 um     6709 A   
 275,00 MeV   3,785E+03  2,399E+00   58,08 um     1,95 um     7113 A   
 300,00 MeV   3,637E+03  2,223E+00   64,81 um     2,18 um     7533 A   
 325,00 MeV   3,500E+03  2,071E+00   71,82 um     2,39 um     7969 A   
 350,00 MeV   3,374E+03  1,940E+00   79,09 um     2,61 um     8420 A   
 375,00 MeV   3,256E+03  1,825E+00   86,63 um     2,82 um     8886 A   
 400,00 MeV   3,146E+03  1,724E+00   94,44 um     3,03 um     9368 A   
 450,00 MeV   2,945E+03  1,553E+00  110,86 um     3,83 um     1,04 um  
 500,00 MeV   2,767E+03  1,415E+00  128,37 um     4,57 um     1,14 um  
 550,00 MeV   2,607E+03  1,300E+00  146,98 um     5,28 um     1,26 um  
 600,00 MeV   2,462E+03  1,203E+00  166,72 um     5,98 um     1,38 um  
 650,00 MeV   2,332E+03  1,120E+00  187,58 um     6,67 um     1,50 um  
 700,00 MeV   2,215E+03  1,049E+00  209,57 um     7,37 um     1,64 um  
 800,00 MeV   2,012E+03  9,307E-01  256,94 um     9,97 um     1,92 um  
 900,00 MeV   1,849E+03  8,377E-01  308,79 um    12,39 um     2,23 um  
   1,00 GeV   1,718E+03  7,622E-01  364,90 um    14,73 um     2,56 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  3,1747E-03                keV / (ug/cm2) 
  3,1747E-03                MeV / (mg/cm2) 
  3,1747E+00                keV / (mg/cm2) 
  1,2667E-01                 eV / (1E15 atoms/cm2)
  3,8861E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
