 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Manganese in Ca- P- O- F-Cl- O- H.txt

 Ion = Manganese [25] , Mass = 54,94 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   4,169E+03  1,283E+02    2,70 um     2597 A      3131 A   
   7,00 MeV   4,376E+03  1,214E+02    2,82 um     2624 A      3185 A   
   8,00 MeV   4,757E+03  1,097E+02    3,03 um     2677 A      3279 A   
   9,00 MeV   5,097E+03  1,003E+02    3,22 um     2721 A      3357 A   
  10,00 MeV   5,402E+03  9,250E+01    3,41 um     2759 A      3425 A   
  11,00 MeV   5,674E+03  8,593E+01    3,59 um     2791 A      3484 A   
  12,00 MeV   5,920E+03  8,030E+01    3,75 um     2819 A      3536 A   
  13,00 MeV   6,141E+03  7,543E+01    3,92 um     2845 A      3582 A   
  14,00 MeV   6,341E+03  7,116E+01    4,07 um     2868 A      3624 A   
  15,00 MeV   6,523E+03  6,739E+01    4,23 um     2889 A      3663 A   
  16,00 MeV   6,689E+03  6,403E+01    4,38 um     2908 A      3699 A   
  17,00 MeV   6,841E+03  6,102E+01    4,52 um     2926 A      3732 A   
  18,00 MeV   6,981E+03  5,831E+01    4,67 um     2943 A      3762 A   
  20,00 MeV   7,231E+03  5,359E+01    4,94 um     2987 A      3818 A   
  22,50 MeV   7,495E+03  4,875E+01    5,28 um     3044 A      3880 A   
  25,00 MeV   7,720E+03  4,477E+01    5,61 um     3095 A      3935 A   
  27,50 MeV   7,911E+03  4,143E+01    5,92 um     3142 A      3984 A   
  30,00 MeV   8,077E+03  3,859E+01    6,23 um     3186 A      4029 A   
  32,50 MeV   8,220E+03  3,615E+01    6,54 um     3227 A      4070 A   
  35,00 MeV   8,345E+03  3,401E+01    6,84 um     3265 A      4109 A   
  37,50 MeV   8,454E+03  3,214E+01    7,13 um     3302 A      4145 A   
  40,00 MeV   8,550E+03  3,047E+01    7,43 um     3338 A      4179 A   
  45,00 MeV   8,706E+03  2,764E+01    8,00 um     3453 A      4242 A   
  50,00 MeV   8,827E+03  2,532E+01    8,57 um     3560 A      4299 A   
  55,00 MeV   8,918E+03  2,339E+01    9,13 um     3661 A      4352 A   
  60,00 MeV   8,986E+03  2,175E+01    9,69 um     3757 A      4402 A   
  65,00 MeV   9,036E+03  2,033E+01   10,24 um     3849 A      4449 A   
  70,00 MeV   9,069E+03  1,910E+01   10,79 um     3938 A      4494 A   
  80,00 MeV   9,099E+03  1,707E+01   11,89 um     4252 A      4579 A   
  90,00 MeV   9,090E+03  1,545E+01   12,99 um     4543 A      4658 A   
 100,00 MeV   9,055E+03  1,413E+01   14,09 um     4817 A      4733 A   
 110,00 MeV   9,000E+03  1,303E+01   15,19 um     5079 A      4805 A   
 120,00 MeV   8,962E+03  1,209E+01   16,30 um     5330 A      4875 A   
 130,00 MeV   8,847E+03  1,129E+01   17,43 um     5573 A      4943 A   
 140,00 MeV   8,731E+03  1,060E+01   18,56 um     5812 A      5011 A   
 150,00 MeV   8,621E+03  9,989E+00   19,71 um     6047 A      5077 A   
 160,00 MeV   8,511E+03  9,450E+00   20,88 um     6280 A      5143 A   
 170,00 MeV   8,400E+03  8,969E+00   22,06 um     6509 A      5209 A   
