 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Vanadium in Ca- P- O- F-Cl- O- H.txt

 Ion = Vanadium [23] , Mass = 50,94 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   4,348E+03  1,044E+02    2,63 um     2349 A      2868 A   
   7,00 MeV   4,550E+03  9,867E+01    2,74 um     2373 A      2916 A   
   8,00 MeV   4,917E+03  8,910E+01    2,95 um     2422 A      2999 A   
   9,00 MeV   5,239E+03  8,137E+01    3,14 um     2463 A      3069 A   
  10,00 MeV   5,522E+03  7,498E+01    3,32 um     2497 A      3129 A   
  11,00 MeV   5,772E+03  6,961E+01    3,49 um     2528 A      3182 A   
  12,00 MeV   5,994E+03  6,501E+01    3,66 um     2555 A      3229 A   
  13,00 MeV   6,191E+03  6,103E+01    3,82 um     2579 A      3271 A   
  14,00 MeV   6,368E+03  5,755E+01    3,98 um     2601 A      3310 A   
  15,00 MeV   6,527E+03  5,448E+01    4,13 um     2622 A      3345 A   
  16,00 MeV   6,671E+03  5,175E+01    4,28 um     2641 A      3378 A   
  17,00 MeV   6,801E+03  4,930E+01    4,43 um     2659 A      3408 A   
  18,00 MeV   6,921E+03  4,709E+01    4,57 um     2676 A      3436 A   
  20,00 MeV   7,131E+03  4,326E+01    4,86 um     2722 A      3489 A   
  22,50 MeV   7,351E+03  3,932E+01    5,20 um     2782 A      3546 A   
  25,00 MeV   7,533E+03  3,609E+01    5,53 um     2837 A      3598 A   
  27,50 MeV   7,686E+03  3,339E+01    5,86 um     2888 A      3645 A   
  30,00 MeV   7,815E+03  3,109E+01    6,18 um     2936 A      3688 A   
  32,50 MeV   7,924E+03  2,910E+01    6,49 um     2981 A      3728 A   
  35,00 MeV   8,016E+03  2,738E+01    6,81 um     3024 A      3766 A   
  37,50 MeV   8,094E+03  2,586E+01    7,12 um     3065 A      3801 A   
  40,00 MeV   8,160E+03  2,451E+01    7,42 um     3104 A      3834 A   
  45,00 MeV   8,263E+03  2,222E+01    8,03 um     3237 A      3897 A   
  50,00 MeV   8,335E+03  2,035E+01    8,63 um     3361 A      3954 A   
  55,00 MeV   8,381E+03  1,879E+01    9,22 um     3479 A      4008 A   
  60,00 MeV   8,409E+03  1,746E+01    9,82 um     3591 A      4059 A   
  65,00 MeV   8,420E+03  1,632E+01   10,41 um     3699 A      4108 A   
  70,00 MeV   8,419E+03  1,533E+01   11,00 um     3804 A      4155 A   
  80,00 MeV   8,386E+03  1,369E+01   12,19 um     4177 A      4244 A   
  90,00 MeV   8,325E+03  1,239E+01   13,39 um     4522 A      4328 A   
 100,00 MeV   8,245E+03  1,133E+01   14,59 um     4848 A      4410 A   
 110,00 MeV   8,181E+03  1,044E+01   15,81 um     5158 A      4488 A   
 120,00 MeV   8,049E+03  9,689E+00   17,04 um     5458 A      4566 A   
 130,00 MeV   7,912E+03  9,046E+00   18,29 um     5751 A      4642 A   
 140,00 MeV   7,785E+03  8,488E+00   19,56 um     6038 A      4718 A   
 150,00 MeV   7,658E+03  7,998E+00   20,85 um     6322 A      4794 A   
 160,00 MeV   7,533E+03  7,565E+00   22,17 um     6602 A      4870 A   
 170,00 MeV   7,409E+03  7,179E+00   23,51 um     6879 A      4946 A   
 180,00 MeV   7,289E+03  6,832E+00   24,86 um     7154 A      5022 A   
 200,00 MeV   7,055E+03  6,236E+00   27,65 um     8189 A      5177 A   
 225,00 MeV   6,780E+03  5,630E+00   31,26 um     9675 A      5374 A   
 250,00 MeV   6,524E+03  5,137E+00   35,02 um     1,11 um     5577 A   
 275,00 MeV   6,286E+03  4,727E+00   38,92 um     1,24 um     5785 A   
 300,00 MeV   6,066E+03  4,381E+00   42,97 um     1,37 um     6001 A   
 325,00 MeV   5,860E+03  4,084E+00   47,16 um     1,49 um     6224 A   
 350,00 MeV   5,669E+03  3,828E+00   51,49 um     1,61 um     6454 A   
 375,00 MeV   5,490E+03  3,603E+00   55,97 um     1,74 um     6692 A   
 400,00 MeV   5,323E+03  3,404E+00   60,59 um     1,86 um     6937 A   
 450,00 MeV   5,020E+03  3,069E+00   70,26 um     2,31 um     7451 A   
 500,00 MeV   4,751E+03  2,797E+00   80,49 um     2,73 um     7995 A   
 550,00 MeV   4,511E+03  2,571E+00   91,29 um     3,13 um     8571 A   
 600,00 MeV   4,295E+03  2,381E+00  102,65 um     3,52 um     9177 A   
 650,00 MeV   4,099E+03  2,218E+00  114,56 um     3,91 um     9813 A   
 700,00 MeV   3,921E+03  2,077E+00  127,03 um     4,29 um     1,05 um  
 800,00 MeV   3,610E+03  1,845E+00  153,60 um     5,71 um     1,19 um  
 900,00 MeV   3,346E+03  1,661E+00  182,38 um     7,02 um     1,34 um  
   1,00 GeV   3,121E+03  1,513E+00  213,32 um     8,28 um     1,51 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  3,1747E-03                keV / (ug/cm2) 
  3,1747E-03                MeV / (mg/cm2) 
  3,1747E+00                keV / (mg/cm2) 
  1,2553E-01                 eV / (1E15 atoms/cm2)
  2,9248E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
