 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Ca- P- O- F-Cl- O- H.txt

 Ion = Bromine [35] , Mass = 78,92 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   3,321E+03  3,037E+02    2,58 um     2690 A      3080 A   
   7,00 MeV   3,510E+03  2,882E+02    2,71 um     2743 A      3173 A   
   8,00 MeV   3,874E+03  2,620E+02    2,96 um     2843 A      3336 A   
   9,00 MeV   4,218E+03  2,406E+02    3,19 um     2925 A      3474 A   
  10,00 MeV   4,543E+03  2,227E+02    3,40 um     2993 A      3592 A   
  11,00 MeV   4,849E+03  2,076E+02    3,60 um     3051 A      3696 A   
  12,00 MeV   5,137E+03  1,946E+02    3,79 um     3101 A      3787 A   
  13,00 MeV   5,410E+03  1,833E+02    3,97 um     3145 A      3869 A   
  14,00 MeV   5,667E+03  1,733E+02    4,15 um     3184 A      3942 A   
  15,00 MeV   5,911E+03  1,645E+02    4,31 um     3218 A      4008 A   
  16,00 MeV   6,141E+03  1,566E+02    4,47 um     3249 A      4069 A   
  17,00 MeV   6,360E+03  1,495E+02    4,63 um     3278 A      4125 A   
  18,00 MeV   6,568E+03  1,431E+02    4,78 um     3304 A      4176 A   
  20,00 MeV   6,954E+03  1,319E+02    5,07 um     3363 A      4268 A   
  22,50 MeV   7,389E+03  1,204E+02    5,41 um     3432 A      4367 A   
  25,00 MeV   7,781E+03  1,109E+02    5,73 um     3491 A      4453 A   
  27,50 MeV   8,138E+03  1,029E+02    6,04 um     3544 A      4528 A   
  30,00 MeV   8,466E+03  9,601E+01    6,33 um     3590 A      4596 A   
  32,50 MeV   8,768E+03  9,010E+01    6,62 um     3632 A      4656 A   
  35,00 MeV   9,048E+03  8,492E+01    6,90 um     3671 A      4711 A   
  37,50 MeV   9,310E+03  8,036E+01    7,17 um     3706 A      4761 A   
  40,00 MeV   9,554E+03  7,630E+01    7,43 um     3739 A      4808 A   
  45,00 MeV   9,997E+03  6,939E+01    7,93 um     3831 A      4891 A   
  50,00 MeV   1,039E+04  6,371E+01    8,42 um     3913 A      4964 A   
  55,00 MeV   1,073E+04  5,895E+01    8,89 um     3988 A      5029 A   
  60,00 MeV   1,104E+04  5,490E+01    9,35 um     4056 A      5088 A   
  65,00 MeV   1,132E+04  5,141E+01    9,79 um     4118 A      5141 A   
  70,00 MeV   1,157E+04  4,837E+01   10,23 um     4177 A      5191 A   
  80,00 MeV   1,199E+04  4,332E+01   11,07 um     4367 A      5279 A   
  90,00 MeV   1,233E+04  3,929E+01   11,89 um     4537 A      5358 A   
 100,00 MeV   1,261E+04  3,599E+01   12,69 um     4691 A      5428 A   
 110,00 MeV   1,283E+04  3,323E+01   13,47 um     4835 A      5492 A   
 120,00 MeV   1,301E+04  3,090E+01   14,24 um     4970 A      5552 A   
 130,00 MeV   1,315E+04  2,889E+01   15,00 um     5098 A      5608 A   
 140,00 MeV   1,325E+04  2,714E+01   15,76 um     5220 A      5660 A   
 150,00 MeV   1,333E+04  2,560E+01   16,51 um     5337 A      5710 A   
 160,00 MeV   1,341E+04  2,424E+01   17,26 um     5450 A      5757 A   
 170,00 MeV   1,348E+04  2,303E+01   18,00 um     5559 A      5803 A   
 180,00 MeV   1,349E+04  2,194E+01   18,74 um     5666 A      5847 A   
 200,00 MeV   1,341E+04  2,006E+01   20,22 um     6058 A      5931 A   
 225,00 MeV   1,332E+04  1,814E+01   22,09 um     6625 A      6030 A   
 250,00 MeV   1,319E+04  1,658E+01   23,97 um     7156 A      6126 A   
 275,00 MeV   1,303E+04  1,528E+01   25,88 um     7660 A      6218 A   
 300,00 MeV   1,286E+04  1,418E+01   27,81 um     8145 A      6307 A   
 325,00 MeV   1,268E+04  1,323E+01   29,76 um     8614 A      6396 A   
 350,00 MeV   1,249E+04  1,241E+01   31,75 um     9072 A      6483 A   
 375,00 MeV   1,230E+04  1,169E+01   33,76 um     9521 A      6570 A   
 400,00 MeV   1,210E+04  1,106E+01   35,81 um     9963 A      6657 A   
 450,00 MeV   1,172E+04  9,985E+00   40,00 um     1,16 um     6830 A   
 500,00 MeV   1,135E+04  9,112E+00   44,33 um     1,31 um     7006 A   
 550,00 MeV   1,100E+04  8,386E+00   48,81 um     1,46 um     7184 A   
 600,00 MeV   1,066E+04  7,773E+00   53,42 um     1,60 um     7366 A   
 650,00 MeV   1,034E+04  7,248E+00   58,18 um     1,74 um     7552 A   
 700,00 MeV   1,003E+04  6,793E+00   63,09 um     1,87 um     7743 A   
 800,00 MeV   9,464E+03  6,043E+00   73,35 um     2,37 um     8142 A   
 900,00 MeV   8,951E+03  5,449E+00   84,21 um     2,83 um     8564 A   
   1,00 GeV   8,488E+03  4,966E+00   95,68 um     3,26 um     9011 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
