 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Selenium in Ca- P- O- F-Cl- O- H.txt

 Ion = Selenium [34] , Mass = 79,92 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   3,475E+03  2,927E+02    2,55 um     2615 A      3004 A   
   7,00 MeV   3,685E+03  2,777E+02    2,68 um     2664 A      3091 A   
   8,00 MeV   4,087E+03  2,524E+02    2,91 um     2756 A      3242 A   
   9,00 MeV   4,464E+03  2,317E+02    3,13 um     2830 A      3368 A   
  10,00 MeV   4,817E+03  2,145E+02    3,34 um     2891 A      3477 A   
  11,00 MeV   5,145E+03  1,999E+02    3,53 um     2943 A      3571 A   
  12,00 MeV   5,451E+03  1,874E+02    3,71 um     2988 A      3653 A   
  13,00 MeV   5,736E+03  1,764E+02    3,88 um     3027 A      3727 A   
  14,00 MeV   6,001E+03  1,669E+02    4,04 um     3062 A      3793 A   
  15,00 MeV   6,248E+03  1,583E+02    4,20 um     3093 A      3853 A   
  16,00 MeV   6,478E+03  1,507E+02    4,35 um     3121 A      3908 A   
  17,00 MeV   6,693E+03  1,439E+02    4,50 um     3147 A      3958 A   
  18,00 MeV   6,895E+03  1,377E+02    4,64 um     3170 A      4004 A   
  20,00 MeV   7,263E+03  1,270E+02    4,92 um     3224 A      4088 A   
  22,50 MeV   7,666E+03  1,158E+02    5,25 um     3288 A      4178 A   
  25,00 MeV   8,020E+03  1,067E+02    5,56 um     3345 A      4257 A   
  27,50 MeV   8,336E+03  9,895E+01    5,86 um     3395 A      4326 A   
  30,00 MeV   8,621E+03  9,237E+01    6,15 um     3439 A      4388 A   
  32,50 MeV   8,880E+03  8,667E+01    6,43 um     3481 A      4445 A   
  35,00 MeV   9,118E+03  8,169E+01    6,71 um     3518 A      4496 A   
  37,50 MeV   9,339E+03  7,730E+01    6,97 um     3553 A      4544 A   
  40,00 MeV   9,544E+03  7,339E+01    7,24 um     3586 A      4588 A   
  45,00 MeV   9,915E+03  6,673E+01    7,74 um     3681 A      4668 A   
  50,00 MeV   1,024E+04  6,127E+01    8,24 um     3767 A      4738 A   
  55,00 MeV   1,053E+04  5,669E+01    8,71 um     3845 A      4802 A   
  60,00 MeV   1,079E+04  5,279E+01    9,18 um     3917 A      4860 A   
  65,00 MeV   1,102E+04  4,944E+01    9,64 um     3984 A      4913 A   
  70,00 MeV   1,123E+04  4,651E+01   10,08 um     4047 A      4962 A   
  80,00 MeV   1,159E+04  4,165E+01   10,95 um     4253 A      5051 A   
  90,00 MeV   1,187E+04  3,777E+01   11,80 um     4438 A      5131 A   
 100,00 MeV   1,211E+04  3,460E+01   12,63 um     4608 A      5203 A   
 110,00 MeV   1,230E+04  3,195E+01   13,45 um     4765 A      5270 A   
 120,00 MeV   1,245E+04  2,970E+01   14,26 um     4913 A      5332 A   
 130,00 MeV   1,257E+04  2,777E+01   15,05 um     5053 A      5390 A   
 140,00 MeV   1,266E+04  2,608E+01   15,84 um     5187 A      5445 A   
 150,00 MeV   1,273E+04  2,461E+01   16,63 um     5315 A      5497 A   
 160,00 MeV   1,278E+04  2,330E+01   17,41 um     5439 A      5547 A   
 170,00 MeV   1,286E+04  2,213E+01   18,19 um     5559 A      5596 A   
 180,00 MeV   1,287E+04  2,108E+01   18,96 um     5675 A      5642 A   
 200,00 MeV   1,279E+04  1,928E+01   20,52 um     6103 A      5732 A   
 225,00 MeV   1,270E+04  1,743E+01   22,48 um     6720 A      5838 A   
 250,00 MeV   1,257E+04  1,593E+01   24,45 um     7294 A      5941 A   
 275,00 MeV   1,242E+04  1,468E+01   26,45 um     7837 A      6040 A   
 300,00 MeV   1,225E+04  1,362E+01   28,48 um     8358 A      6137 A   
 325,00 MeV   1,208E+04  1,271E+01   30,53 um     8860 A      6233 A   
 350,00 MeV   1,190E+04  1,193E+01   32,61 um     9350 A      6327 A   
 375,00 MeV   1,172E+04  1,124E+01   34,73 um     9829 A      6422 A   
 400,00 MeV   1,153E+04  1,062E+01   36,88 um     1,03 um     6516 A   
 450,00 MeV   1,117E+04  9,593E+00   41,28 um     1,21 um     6705 A   
 500,00 MeV   1,082E+04  8,753E+00   45,82 um     1,37 um     6896 A   
 550,00 MeV   1,049E+04  8,056E+00   50,51 um     1,52 um     7090 A   
 600,00 MeV   1,016E+04  7,467E+00   55,35 um     1,67 um     7288 A   
 650,00 MeV   9,859E+03  6,963E+00   60,34 um     1,82 um     7491 A   
 700,00 MeV   9,568E+03  6,525E+00   65,49 um     1,96 um     7699 A   
 800,00 MeV   9,029E+03  5,804E+00   76,24 um     2,48 um     8132 A   
 900,00 MeV   8,542E+03  5,234E+00   87,63 um     2,96 um     8590 A   
   1,00 GeV   8,101E+03  4,770E+00   99,64 um     3,42 um     9074 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  3,1747E-03                keV / (ug/cm2) 
  3,1747E-03                MeV / (mg/cm2) 
  3,1747E+00                keV / (mg/cm2) 
  1,2667E-01                 eV / (1E15 atoms/cm2)
  1,9055E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
