 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Yttrium in Ca- P- O- F-Cl- O- H.txt

 Ion = Yttrium [39] , Mass = 88,906 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   3,438E+03  3,988E+02    2,31 um     2421 A      2712 A   
   7,00 MeV   3,647E+03  3,790E+02    2,43 um     2477 A      2805 A   
   8,00 MeV   4,051E+03  3,452E+02    2,66 um     2580 A      2967 A   
   9,00 MeV   4,435E+03  3,176E+02    2,88 um     2665 A      3105 A   
  10,00 MeV   4,798E+03  2,945E+02    3,08 um     2735 A      3224 A   
  11,00 MeV   5,139E+03  2,749E+02    3,27 um     2794 A      3327 A   
  12,00 MeV   5,459E+03  2,580E+02    3,44 um     2845 A      3419 A   
  13,00 MeV   5,757E+03  2,432E+02    3,61 um     2890 A      3501 A   
  14,00 MeV   6,036E+03  2,302E+02    3,77 um     2930 A      3574 A   
  15,00 MeV   6,297E+03  2,187E+02    3,93 um     2965 A      3641 A   
  16,00 MeV   6,540E+03  2,084E+02    4,08 um     2997 A      3702 A   
  17,00 MeV   6,768E+03  1,991E+02    4,22 um     3027 A      3758 A   
  18,00 MeV   6,982E+03  1,907E+02    4,36 um     3053 A      3810 A   
  20,00 MeV   7,372E+03  1,760E+02    4,63 um     3113 A      3904 A   
  22,50 MeV   7,801E+03  1,608E+02    4,95 um     3183 A      4005 A   
  25,00 MeV   8,178E+03  1,483E+02    5,26 um     3244 A      4094 A   
  27,50 MeV   8,514E+03  1,377E+02    5,55 um     3297 A      4172 A   
  30,00 MeV   8,819E+03  1,286E+02    5,83 um     3345 A      4242 A   
  32,50 MeV   9,099E+03  1,208E+02    6,11 um     3389 A      4305 A   
  35,00 MeV   9,359E+03  1,139E+02    6,38 um     3430 A      4363 A   
  37,50 MeV   9,603E+03  1,079E+02    6,64 um     3467 A      4417 A   
  40,00 MeV   9,832E+03  1,025E+02    6,89 um     3501 A      4466 A   
  45,00 MeV   1,026E+04  9,330E+01    7,38 um     3597 A      4556 A   
  50,00 MeV   1,064E+04  8,573E+01    7,85 um     3683 A      4635 A   
  55,00 MeV   1,099E+04  7,939E+01    8,31 um     3761 A      4706 A   
  60,00 MeV   1,132E+04  7,399E+01    8,76 um     3831 A      4770 A   
  65,00 MeV   1,162E+04  6,933E+01    9,19 um     3896 A      4829 A   
  70,00 MeV   1,189E+04  6,526E+01    9,61 um     3957 A      4883 A   
  80,00 MeV   1,239E+04  5,850E+01   10,43 um     4148 A      4980 A   
  90,00 MeV   1,282E+04  5,310E+01   11,22 um     4317 A      5066 A   
 100,00 MeV   1,319E+04  4,867E+01   11,98 um     4469 A      5142 A   
 110,00 MeV   1,352E+04  4,497E+01   12,73 um     4608 A      5212 A   
 120,00 MeV   1,379E+04  4,183E+01   13,46 um     4737 A      5276 A   
 130,00 MeV   1,403E+04  3,913E+01   14,17 um     4857 A      5335 A   
 140,00 MeV   1,424E+04  3,678E+01   14,88 um     4970 A      5391 A   
 150,00 MeV   1,441E+04  3,471E+01   15,57 um     5078 A      5443 A   
 160,00 MeV   1,456E+04  3,288E+01   16,26 um     5181 A      5493 A   
 170,00 MeV   1,469E+04  3,124E+01   16,94 um     5280 A      5540 A   
 180,00 MeV   1,481E+04  2,977E+01   17,62 um     5375 A      5586 A   
 200,00 MeV   1,500E+04  2,723E+01   18,96 um     5715 A      5671 A   
 225,00 MeV   1,501E+04  2,464E+01   20,62 um     6197 A      5770 A   
 250,00 MeV   1,502E+04  2,253E+01   22,28 um     6643 A      5863 A   
 275,00 MeV   1,497E+04  2,077E+01   23,95 um     7062 A      5951 A   
 300,00 MeV   1,490E+04  1,928E+01   25,62 um     7460 A      6036 A   
 325,00 MeV   1,480E+04  1,800E+01   27,30 um     7842 A      6119 A   
 350,00 MeV   1,468E+04  1,690E+01   28,99 um     8211 A      6199 A   
 375,00 MeV   1,455E+04  1,592E+01   30,70 um     8570 A      6277 A   
 400,00 MeV   1,440E+04  1,506E+01   32,43 um     8921 A      6355 A   
