 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Aluminum in Ca- P- O- F-Cl- O- H.txt

 Ion = Aluminum [13] , Mass = 26,982 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,00 MeV   3,451E+03  2,349E+01    3,18 um     2546 A      3235 A   
   6,50 MeV   3,565E+03  2,203E+01    3,32 um     2566 A      3272 A   
   7,00 MeV   3,666E+03  2,075E+01    3,46 um     2585 A      3307 A   
   8,00 MeV   3,833E+03  1,863E+01    3,72 um     2631 A      3368 A   
   9,00 MeV   3,964E+03  1,693E+01    3,98 um     2672 A      3420 A   
  10,00 MeV   4,066E+03  1,553E+01    4,22 um     2709 A      3467 A   
  11,00 MeV   4,145E+03  1,436E+01    4,47 um     2743 A      3510 A   
  12,00 MeV   4,206E+03  1,337E+01    4,70 um     2775 A      3549 A   
  13,00 MeV   4,253E+03  1,251E+01    4,94 um     2806 A      3585 A   
  14,00 MeV   4,288E+03  1,177E+01    5,17 um     2835 A      3619 A   
  15,00 MeV   4,313E+03  1,111E+01    5,40 um     2863 A      3651 A   
  16,00 MeV   4,330E+03  1,053E+01    5,63 um     2890 A      3682 A   
  17,00 MeV   4,341E+03  1,001E+01    5,86 um     2917 A      3711 A   
  18,00 MeV   4,346E+03  9,546E+00    6,09 um     2942 A      3739 A   
  20,00 MeV   4,343E+03  8,740E+00    6,55 um     3028 A      3792 A   
  22,50 MeV   4,321E+03  7,916E+00    7,13 um     3152 A      3855 A   
  25,00 MeV   4,287E+03  7,243E+00    7,71 um     3273 A      3914 A   
  27,50 MeV   4,244E+03  6,682E+00    8,29 um     3390 A      3971 A   
  30,00 MeV   4,196E+03  6,206E+00    8,88 um     3506 A      4026 A   
  32,50 MeV   4,145E+03  5,798E+00    9,48 um     3620 A      4080 A   
  35,00 MeV   4,091E+03  5,443E+00   10,08 um     3733 A      4133 A   
  37,50 MeV   4,037E+03  5,132E+00   10,70 um     3845 A      4186 A   
  40,00 MeV   3,983E+03  4,856E+00   11,32 um     3957 A      4238 A   
  45,00 MeV   3,876E+03  4,390E+00   12,59 um     4369 A      4341 A   
  50,00 MeV   3,771E+03  4,010E+00   13,90 um     4765 A      4444 A   
  55,00 MeV   3,676E+03  3,694E+00   15,24 um     5149 A      4548 A   
  60,00 MeV   3,588E+03  3,427E+00   16,61 um     5524 A      4652 A   
  65,00 MeV   3,478E+03  3,198E+00   18,03 um     5895 A      4759 A   
  70,00 MeV   3,386E+03  2,999E+00   19,48 um     6263 A      4867 A   
  80,00 MeV   3,216E+03  2,671E+00   22,51 um     7621 A      5091 A   
