 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Zinc in Ca- P- O- F-Cl- O- H.txt

 Ion = Zinc [30] , Mass = 63,93 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   4,015E+03  1,986E+02    2,48 um     2455 A      2889 A   
   7,00 MeV   4,229E+03  1,881E+02    2,60 um     2490 A      2955 A   
   8,00 MeV   4,628E+03  1,705E+02    2,81 um     2558 A      3071 A   
   9,00 MeV   4,993E+03  1,562E+02    3,01 um     2613 A      3168 A   
  10,00 MeV   5,327E+03  1,443E+02    3,20 um     2660 A      3251 A   
  11,00 MeV   5,632E+03  1,342E+02    3,37 um     2700 A      3323 A   
  12,00 MeV   5,911E+03  1,256E+02    3,54 um     2735 A      3388 A   
  13,00 MeV   6,167E+03  1,181E+02    3,70 um     2766 A      3445 A   
  14,00 MeV   6,403E+03  1,116E+02    3,86 um     2794 A      3497 A   
  15,00 MeV   6,620E+03  1,058E+02    4,01 um     2819 A      3544 A   
  16,00 MeV   6,821E+03  1,006E+02    4,15 um     2842 A      3588 A   
  17,00 MeV   7,008E+03  9,595E+01    4,29 um     2863 A      3628 A   
  18,00 MeV   7,182E+03  9,175E+01    4,43 um     2883 A      3666 A   
  20,00 MeV   7,498E+03  8,445E+01    4,70 um     2930 A      3733 A   
  22,50 MeV   7,842E+03  7,694E+01    5,02 um     2990 A      3807 A   
  25,00 MeV   8,142E+03  7,074E+01    5,33 um     3042 A      3872 A   
  27,50 MeV   8,408E+03  6,555E+01    5,63 um     3090 A      3930 A   
  30,00 MeV   8,645E+03  6,112E+01    5,92 um     3133 A      3983 A   
  32,50 MeV   8,859E+03  5,729E+01    6,20 um     3173 A      4031 A   
  35,00 MeV   9,053E+03  5,396E+01    6,48 um     3211 A      4075 A   
  37,50 MeV   9,229E+03  5,102E+01    6,75 um     3246 A      4116 A   
  40,00 MeV   9,390E+03  4,840E+01    7,02 um     3279 A      4154 A   
  45,00 MeV   9,672E+03  4,396E+01    7,54 um     3380 A      4224 A   
  50,00 MeV   9,910E+03  4,031E+01    8,04 um     3473 A      4287 A   
  55,00 MeV   1,011E+04  3,726E+01    8,54 um     3559 A      4344 A   
  60,00 MeV   1,028E+04  3,467E+01    9,03 um     3639 A      4397 A   
  65,00 MeV   1,043E+04  3,245E+01    9,51 um     3715 A      4447 A   
  70,00 MeV   1,056E+04  3,051E+01    9,98 um     3786 A      4493 A   
  80,00 MeV   1,075E+04  2,729E+01   10,92 um     4031 A      4578 A   
  90,00 MeV   1,089E+04  2,472E+01   11,84 um     4254 A      4656 A   
 100,00 MeV   1,098E+04  2,262E+01   12,75 um     4461 A      4728 A   
 110,00 MeV   1,104E+04  2,087E+01   13,66 um     4655 A      4795 A   
 120,00 MeV   1,107E+04  1,939E+01   14,56 um     4840 A      4859 A   
 130,00 MeV   1,108E+04  1,812E+01   15,46 um     5017 A      4920 A   
 140,00 MeV   1,110E+04  1,701E+01   16,36 um     5188 A      4979 A   
 150,00 MeV   1,103E+04  1,604E+01   17,26 um     5353 A      5036 A   
 160,00 MeV   1,095E+04  1,518E+01   18,17 um     5515 A      5092 A   
 170,00 MeV   1,089E+04  1,442E+01   19,09 um     5675 A      5146 A   
 180,00 MeV   1,081E+04  1,373E+01   20,01 um     5832 A      5200 A   
 200,00 MeV   1,065E+04  1,254E+01   21,87 um     6416 A      5305 A   
 225,00 MeV   1,044E+04  1,133E+01   24,24 um     7257 A      5433 A   
 250,00 MeV   1,021E+04  1,035E+01   26,65 um     8041 A      5559 A   
 275,00 MeV   9,986E+03  9,532E+00   29,13 um     8785 A      5685 A   
 300,00 MeV   9,764E+03  8,840E+00   31,66 um     9501 A      5811 A   
 325,00 MeV   9,546E+03  8,247E+00   34,24 um     1,02 um     5938 A   
 350,00 MeV   9,333E+03  7,733E+00   36,89 um     1,09 um     6066 A   
 375,00 MeV   9,128E+03  7,283E+00   39,60 um     1,15 um     6195 A   
 400,00 MeV   8,929E+03  6,885E+00   42,36 um     1,22 um     6327 A   
 450,00 MeV   8,553E+03  6,212E+00   48,08 um     1,47 um     6595 A   
 500,00 MeV   8,204E+03  5,665E+00   54,05 um     1,69 um     6872 A   
 550,00 MeV   7,881E+03  5,212E+00   60,26 um     1,91 um     7160 A   
 600,00 MeV   7,580E+03  4,829E+00   66,73 um     2,12 um     7459 A   
 650,00 MeV   7,301E+03  4,501E+00   73,45 um     2,33 um     7768 A   
 700,00 MeV   7,040E+03  4,216E+00   80,42 um     2,53 um     8089 A   
 800,00 MeV   6,570E+03  3,748E+00   95,12 um     3,28 um     8768 A   
 900,00 MeV   6,156E+03  3,378E+00  110,84 um     3,96 um     9495 A   
   1,00 GeV   5,791E+03  3,077E+00  127,58 um     4,62 um     1,03 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  3,1747E-03                keV / (ug/cm2) 
  3,1747E-03                MeV / (mg/cm2) 
  3,1747E+00                keV / (mg/cm2) 
  1,2667E-01                 eV / (1E15 atoms/cm2)
  2,2225E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
