 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Cobalt in Ca- P- O- F-Cl- O- H.txt

 Ion = Cobalt [27] , Mass = 58,93 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   3,954E+03  1,553E+02    2,87 um     2913 A      3478 A   
   7,00 MeV   4,197E+03  1,470E+02    2,99 um     2945 A      3544 A   
   8,00 MeV   4,648E+03  1,331E+02    3,20 um     3005 A      3654 A   
   9,00 MeV   5,055E+03  1,217E+02    3,40 um     3053 A      3745 A   
  10,00 MeV   5,419E+03  1,124E+02    3,59 um     3092 A      3821 A   
  11,00 MeV   5,746E+03  1,044E+02    3,76 um     3126 A      3887 A   
  12,00 MeV   6,038E+03  9,766E+01    3,93 um     3155 A      3945 A   
  13,00 MeV   6,301E+03  9,178E+01    4,08 um     3180 A      3996 A   
  14,00 MeV   6,537E+03  8,663E+01    4,24 um     3203 A      4042 A   
  15,00 MeV   6,751E+03  8,208E+01    4,38 um     3224 A      4083 A   
  16,00 MeV   6,944E+03  7,802E+01    4,53 um     3243 A      4121 A   
  17,00 MeV   7,120E+03  7,438E+01    4,67 um     3260 A      4156 A   
  18,00 MeV   7,281E+03  7,109E+01    4,80 um     3277 A      4188 A   
  20,00 MeV   7,566E+03  6,539E+01    5,07 um     3317 A      4247 A   
  22,50 MeV   7,866E+03  5,951E+01    5,39 um     3367 A      4311 A   
  25,00 MeV   8,119E+03  5,468E+01    5,70 um     3413 A      4367 A   
  27,50 MeV   8,337E+03  5,063E+01    6,00 um     3454 A      4417 A   
  30,00 MeV   8,527E+03  4,719E+01    6,29 um     3493 A      4462 A   
  32,50 MeV   8,694E+03  4,421E+01    6,58 um     3528 A      4504 A   
  35,00 MeV   8,842E+03  4,162E+01    6,87 um     3562 A      4542 A   
  37,50 MeV   8,974E+03  3,933E+01    7,14 um     3594 A      4578 A   
  40,00 MeV   9,093E+03  3,730E+01    7,42 um     3625 A      4611 A   
  45,00 MeV   9,295E+03  3,385E+01    7,96 um     3721 A      4673 A   
  50,00 MeV   9,461E+03  3,103E+01    8,49 um     3811 A      4728 A   
  55,00 MeV   9,596E+03  2,867E+01    9,01 um     3896 A      4779 A   
  60,00 MeV   9,707E+03  2,667E+01    9,53 um     3976 A      4827 A   
  65,00 MeV   9,797E+03  2,494E+01   10,04 um     4052 A      4871 A   
  70,00 MeV   9,869E+03  2,344E+01   10,55 um     4125 A      4913 A   
  80,00 MeV   9,970E+03  2,095E+01   11,55 um     4382 A      4991 A   
  90,00 MeV   1,002E+04  1,897E+01   12,55 um     4619 A      5063 A   
 100,00 MeV   1,004E+04  1,736E+01   13,54 um     4843 A      5131 A   
 110,00 MeV   1,004E+04  1,601E+01   14,54 um     5056 A      5195 A   
 120,00 MeV   1,002E+04  1,487E+01   15,53 um     5261 A      5256 A   
 130,00 MeV   9,993E+03  1,389E+01   16,53 um     5459 A      5316 A   
 140,00 MeV   9,889E+03  1,303E+01   17,53 um     5652 A      5373 A   
 150,00 MeV   9,791E+03  1,229E+01   18,55 um     5842 A      5430 A   
 160,00 MeV   9,695E+03  1,163E+01   19,57 um     6029 A      5486 A   
 170,00 MeV   9,595E+03  1,104E+01   20,61 um     6215 A      5541 A   
 180,00 MeV   9,493E+03  1,051E+01   21,66 um     6398 A      5596 A   
 200,00 MeV   9,283E+03  9,596E+00   23,78 um     7089 A      5704 A   
 225,00 MeV   9,018E+03  8,668E+00   26,51 um     8092 A      5839 A   
 250,00 MeV   8,757E+03  7,913E+00   29,32 um     9034 A      5975 A   
 275,00 MeV   8,503E+03  7,285E+00   32,22 um     9936 A      6113 A   
 300,00 MeV   8,260E+03  6,755E+00   35,20 um     1,08 um     6253 A   
 325,00 MeV   8,026E+03  6,300E+00   38,27 um     1,17 um     6396 A   
 350,00 MeV   7,804E+03  5,906E+00   41,42 um     1,25 um     6542 A   
 375,00 MeV   7,592E+03  5,561E+00   44,67 um     1,33 um     6692 A   
 400,00 MeV   7,390E+03  5,256E+00   48,00 um     1,42 um     6845 A   
 450,00 MeV   7,017E+03  4,741E+00   54,94 um     1,73 um     7165 A   
 500,00 MeV   6,679E+03  4,322E+00   62,25 um     2,01 um     7502 A   
 550,00 MeV   6,372E+03  3,975E+00   69,91 um     2,29 um     7858 A   
 600,00 MeV   6,092E+03  3,682E+00   77,93 um     2,56 um     8232 A   
 650,00 MeV   5,837E+03  3,431E+00   86,31 um     2,82 um     8625 A   
 700,00 MeV   5,603E+03  3,214E+00   95,05 um     3,08 um     9037 A   
 800,00 MeV   5,190E+03  2,856E+00  113,59 um     4,05 um     9918 A   
 900,00 MeV   4,836E+03  2,573E+00  133,54 um     4,94 um     1,09 um  
   1,00 GeV   4,531E+03  2,344E+00  154,90 um     5,80 um     1,19 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  3,1747E-03                keV / (ug/cm2) 
  3,1747E-03                MeV / (mg/cm2) 
  3,1747E+00                keV / (mg/cm2) 
  1,2667E-01                 eV / (1E15 atoms/cm2)
  2,4704E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
