 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Iron in Ca- P- O- F-Cl- O- H.txt

 Ion = Iron [26] , Mass = 55,935 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,616E+01  1,088E+03      96 A        39 A        29 A   
  11,00 keV   6,939E+01  1,108E+03     103 A        41 A        31 A   
  12,00 keV   7,247E+01  1,125E+03     110 A        43 A        33 A   
  13,00 keV   7,543E+01  1,140E+03     116 A        46 A        34 A   
  14,00 keV   7,828E+01  1,154E+03     122 A        48 A        36 A   
  15,00 keV   8,103E+01  1,166E+03     129 A        50 A        38 A   
  16,00 keV   8,369E+01  1,176E+03     135 A        52 A        39 A   
  17,00 keV   8,626E+01  1,186E+03     141 A        54 A        41 A   
  18,00 keV   8,876E+01  1,194E+03     147 A        56 A        42 A   
  20,00 keV   9,356E+01  1,209E+03     159 A        60 A        45 A   
  22,50 keV   9,924E+01  1,223E+03     175 A        65 A        49 A   
  25,00 keV   1,046E+02  1,234E+03     190 A        70 A        53 A   
  27,50 keV   1,097E+02  1,243E+03     204 A        75 A        56 A   
  30,00 keV   1,146E+02  1,249E+03     219 A        79 A        60 A   
  32,50 keV   1,193E+02  1,253E+03     234 A        84 A        63 A   
  35,00 keV   1,238E+02  1,256E+03     249 A        89 A        67 A   
  37,50 keV   1,281E+02  1,258E+03     263 A        93 A        70 A   
