 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Neon in Ca- P- O- F-Cl- O- H.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,00 MeV   2,869E+03  1,121E+01    3,35 um     2301 A      2947 A   
   6,50 MeV   2,918E+03  1,050E+01    3,53 um     2326 A      2983 A   
   7,00 MeV   2,960E+03  9,877E+00    3,69 um     2349 A      3018 A   
   8,00 MeV   3,022E+03  8,849E+00    4,03 um     2414 A      3080 A   
   9,00 MeV   3,065E+03  8,028E+00    4,35 um     2475 A      3136 A   
  10,00 MeV   3,092E+03  7,355E+00    4,68 um     2532 A      3188 A   
  11,00 MeV   3,108E+03  6,794E+00    5,00 um     2587 A      3237 A   
  12,00 MeV   3,116E+03  6,317E+00    5,32 um     2639 A      3283 A   
  13,00 MeV   3,116E+03  5,907E+00    5,64 um     2690 A      3326 A   
  14,00 MeV   3,111E+03  5,551E+00    5,96 um     2740 A      3368 A   
  15,00 MeV   3,102E+03  5,238E+00    6,28 um     2788 A      3409 A   
  16,00 MeV   3,090E+03  4,960E+00    6,60 um     2836 A      3448 A   
  17,00 MeV   3,075E+03  4,712E+00    6,92 um     2883 A      3487 A   
  18,00 MeV   3,058E+03  4,490E+00    7,25 um     2930 A      3524 A   
  20,00 MeV   3,020E+03  4,106E+00    7,91 um     3093 A      3598 A   
  22,50 MeV   2,967E+03  3,714E+00    8,74 um     3332 A      3687 A   
  25,00 MeV   2,911E+03  3,395E+00    9,59 um     3562 A      3774 A   
  27,50 MeV   2,854E+03  3,129E+00   10,45 um     3787 A      3861 A   
  30,00 MeV   2,797E+03  2,904E+00   11,34 um     4007 A      3947 A   
  32,50 MeV   2,741E+03  2,711E+00   12,24 um     4223 A      4033 A   
  35,00 MeV   2,686E+03  2,543E+00   13,16 um     4437 A      4119 A   
  37,50 MeV   2,632E+03  2,396E+00   14,10 um     4650 A      4206 A   
  40,00 MeV   2,581E+03  2,266E+00   15,05 um     4861 A      4293 A   
  45,00 MeV   2,489E+03  2,047E+00   17,03 um     5635 A      4471 A   
  50,00 MeV   2,382E+03  1,868E+00   19,08 um     6368 A      4653 A   
  55,00 MeV   2,291E+03  1,720E+00   21,22 um     7079 A      4841 A   
  60,00 MeV   2,206E+03  1,594E+00   23,44 um     7775 A      5036 A   
  65,00 MeV   2,128E+03  1,487E+00   25,74 um     8460 A      5237 A   
  70,00 MeV   2,056E+03  1,393E+00   28,13 um     9138 A      5444 A   
  80,00 MeV   1,927E+03  1,240E+00   33,15 um     1,16 um     5880 A   
  90,00 MeV   1,814E+03  1,118E+00   38,50 um     1,39 um     6345 A   
 100,00 MeV   1,714E+03  1,019E+00   44,17 um     1,61 um     6837 A   
 110,00 MeV   1,625E+03  9,371E-01   50,15 um     1,82 um     7357 A   
 120,00 MeV   1,546E+03  8,679E-01   56,46 um     2,04 um     7905 A   
 130,00 MeV   1,474E+03  8,087E-01   63,08 um     2,25 um     8480 A   
 140,00 MeV   1,409E+03  7,574E-01   70,02 um     2,46 um     9082 A   
 150,00 MeV   1,349E+03  7,126E-01   77,27 um     2,67 um     9711 A   
 160,00 MeV   1,294E+03  6,730E-01   84,83 um     2,88 um     1,04 um  
 170,00 MeV   1,244E+03  6,378E-01   92,71 um     3,09 um     1,10 um  
 180,00 MeV   1,197E+03  6,062E-01  100,90 um     3,31 um     1,18 um  
 200,00 MeV   1,112E+03  5,521E-01  118,23 um     4,13 um     1,33 um  
 225,00 MeV   1,021E+03  4,971E-01  141,69 um     5,31 um     1,53 um  
 250,00 MeV   9,429E+02  4,526E-01  167,16 um     6,43 um     1,75 um  
 275,00 MeV   8,751E+02  4,157E-01  194,68 um     7,53 um     1,98 um  
 300,00 MeV   8,158E+02  3,846E-01  224,26 um     8,63 um     2,23 um  
 325,00 MeV   7,637E+02  3,580E-01  255,93 um     9,74 um     2,50 um  
 350,00 MeV   7,177E+02  3,350E-01  289,69 um    10,87 um     2,79 um  
 375,00 MeV   6,771E+02  3,149E-01  325,54 um    12,01 um     3,09 um  
 400,00 MeV   6,411E+02  2,972E-01  363,48 um    13,17 um     3,41 um  
 450,00 MeV   5,813E+02  2,674E-01  445,38 um    17,58 um     4,10 um  
 500,00 MeV   5,349E+02  2,432E-01  535,03 um    21,72 um     4,86 um  
 550,00 MeV   4,997E+02  2,232E-01  631,73 um    25,71 um     5,68 um  
 600,00 MeV   4,740E+02  2,064E-01  734,44 um    29,57 um     6,54 um  
 650,00 MeV   4,448E+02  1,920E-01  843,31 um    33,39 um     7,45 um  
 700,00 MeV   4,194E+02  1,796E-01  959,05 um    37,23 um     8,42 um  
 800,00 MeV   3,773E+02  1,592E-01    1,21 mm    51,58 um    10,50 um  
 900,00 MeV   3,438E+02  1,431E-01    1,49 mm    64,93 um    12,79 um  
   1,00 GeV   3,164E+02  1,301E-01    1,79 mm    77,92 um    15,27 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  3,1747E-03                keV / (ug/cm2) 
  3,1747E-03                MeV / (mg/cm2) 
  3,1747E+00                keV / (mg/cm2) 
  1,2667E-01                 eV / (1E15 atoms/cm2)
  8,6876E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
