 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in Ca- P- O- F-Cl- O- H.txt

 Ion = Silicon [14] , Mass = 27,977 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,00 MeV   3,788E+03  2,767E+01    2,75 um     2108 A      2668 A   
   6,50 MeV   3,904E+03  2,596E+01    2,87 um     2128 A      2704 A   
   7,00 MeV   4,009E+03  2,446E+01    3,00 um     2146 A      2736 A   
   8,00 MeV   4,188E+03  2,197E+01    3,24 um     2192 A      2793 A   
   9,00 MeV   4,333E+03  1,997E+01    3,47 um     2232 A      2843 A   
  10,00 MeV   4,450E+03  1,833E+01    3,70 um     2269 A      2888 A   
  11,00 MeV   4,545E+03  1,696E+01    3,92 um     2303 A      2928 A   
  12,00 MeV   4,621E+03  1,579E+01    4,14 um     2334 A      2965 A   
  13,00 MeV   4,683E+03  1,478E+01    4,35 um     2364 A      3000 A   
  14,00 MeV   4,732E+03  1,391E+01    4,56 um     2392 A      3032 A   
  15,00 MeV   4,770E+03  1,314E+01    4,77 um     2420 A      3063 A   
  16,00 MeV   4,799E+03  1,245E+01    4,98 um     2446 A      3092 A   
  17,00 MeV   4,821E+03  1,184E+01    5,19 um     2472 A      3120 A   
  18,00 MeV   4,836E+03  1,129E+01    5,39 um     2496 A      3146 A   
  20,00 MeV   4,849E+03  1,034E+01    5,80 um     2578 A      3197 A   
  22,50 MeV   4,844E+03  9,367E+00    6,32 um     2694 A      3256 A   
  25,00 MeV   4,821E+03  8,573E+00    6,83 um     2806 A      3312 A   
  27,50 MeV   4,786E+03  7,910E+00    7,35 um     2914 A      3366 A   
  30,00 MeV   4,742E+03  7,349E+00    7,88 um     3020 A      3417 A   
  32,50 MeV   4,693E+03  6,867E+00    8,40 um     3124 A      3468 A   
  35,00 MeV   4,640E+03  6,448E+00    8,94 um     3226 A      3517 A   
  37,50 MeV   4,585E+03  6,080E+00    9,48 um     3327 A      3566 A   
  40,00 MeV   4,529E+03  5,755E+00   10,03 um     3428 A      3614 A   
  45,00 MeV   4,414E+03  5,203E+00   11,14 um     3795 A      3709 A   
  50,00 MeV   4,301E+03  4,754E+00   12,29 um     4146 A      3803 A   
  55,00 MeV   4,190E+03  4,380E+00   13,47 um     4486 A      3898 A   
  60,00 MeV   4,098E+03  4,064E+00   14,67 um     4817 A      3994 A   
  65,00 MeV   3,987E+03  3,793E+00   15,91 um     5142 A      4090 A   
  70,00 MeV   3,873E+03  3,558E+00   17,18 um     5464 A      4188 A   
  80,00 MeV   3,680E+03  3,169E+00   19,82 um     6654 A      4389 A   
  90,00 MeV   3,508E+03  2,861E+00   22,60 um     7758 A      4599 A   
 100,00 MeV   3,354E+03  2,610E+00   25,52 um     8813 A      4818 A   
 110,00 MeV   3,215E+03  2,402E+00   28,56 um     9835 A      5046 A   
 120,00 MeV   3,090E+03  2,226E+00   31,73 um     1,08 um     5283 A   
 130,00 MeV   2,975E+03  2,076E+00   35,03 um     1,18 um     5530 A   
 140,00 MeV   2,871E+03  1,945E+00   38,44 um     1,28 um     5786 A   
 150,00 MeV   2,775E+03  1,831E+00   41,98 um     1,38 um     6052 A   
 160,00 MeV   2,687E+03  1,730E+00   45,64 um     1,47 um     6327 A   
 170,00 MeV   2,605E+03  1,640E+00   49,42 um     1,57 um     6610 A   
 180,00 MeV   2,529E+03  1,560E+00   53,31 um     1,67 um     6903 A   
 200,00 MeV   2,391E+03  1,422E+00   61,44 um     2,03 um     7514 A   
 225,00 MeV   2,242E+03  1,281E+00   72,24 um     2,55 um     8325 A   
 250,00 MeV   2,111E+03  1,167E+00   83,73 um     3,03 um     9186 A   
 275,00 MeV   1,996E+03  1,073E+00   95,90 um     3,49 um     1,01 um  
 300,00 MeV   1,893E+03  9,930E-01  108,76 um     3,94 um     1,11 um  
 325,00 MeV   1,800E+03  9,248E-01  122,30 um     4,39 um     1,21 um  
 350,00 MeV   1,716E+03  8,659E-01  136,52 um     4,83 um     1,31 um  
 375,00 MeV   1,639E+03  8,143E-01  151,42 um     5,28 um     1,42 um  
 400,00 MeV   1,568E+03  7,688E-01  167,01 um     5,73 um     1,53 um  
 450,00 MeV   1,443E+03  6,922E-01  200,24 um     7,43 um     1,78 um  
 500,00 MeV   1,336E+03  6,300E-01  236,24 um     9,02 um     2,04 um  
 550,00 MeV   1,245E+03  5,785E-01  275,01 um    10,57 um     2,32 um  
 600,00 MeV   1,166E+03  5,352E-01  316,51 um    12,10 um     2,61 um  
 650,00 MeV   1,098E+03  4,981E-01  360,69 um    13,64 um     2,93 um  
 700,00 MeV   1,041E+03  4,661E-01  407,45 um    15,17 um     3,26 um  
 800,00 MeV   9,528E+02  4,134E-01  507,85 um    20,81 um     3,97 um  
 900,00 MeV   8,798E+02  3,718E-01  617,07 um    25,95 um     4,73 um  
   1,00 GeV   8,126E+02  3,382E-01  735,33 um    30,91 um     5,56 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  3,1747E-03                keV / (ug/cm2) 
  3,1747E-03                MeV / (mg/cm2) 
  3,1747E+00                keV / (mg/cm2) 
  1,2553E-01                 eV / (1E15 atoms/cm2)
  5,5162E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
