 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Ca- P- O- F-Cl- O- H.txt

 Ion = Rubidium [37] , Mass = 84,91 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   3,304E+03  3,525E+02    2,46 um     2554 A      2890 A   
   7,00 MeV   3,505E+03  3,347E+02    2,59 um     2610 A      2986 A   
   8,00 MeV   3,895E+03  3,046E+02    2,83 um     2715 A      3153 A   
   9,00 MeV   4,267E+03  2,800E+02    3,06 um     2800 A      3294 A   
  10,00 MeV   4,618E+03  2,594E+02    3,27 um     2871 A      3415 A   
  11,00 MeV   4,948E+03  2,420E+02    3,46 um     2930 A      3521 A   
  12,00 MeV   5,257E+03  2,270E+02    3,65 um     2982 A      3614 A   
  13,00 MeV   5,546E+03  2,139E+02    3,82 um     3027 A      3696 A   
  14,00 MeV   5,815E+03  2,024E+02    3,99 um     3066 A      3771 A   
  15,00 MeV   6,067E+03  1,922E+02    4,15 um     3102 A      3838 A   
  16,00 MeV   6,303E+03  1,830E+02    4,31 um     3134 A      3900 A   
  17,00 MeV   6,523E+03  1,748E+02    4,46 um     3163 A      3956 A   
  18,00 MeV   6,729E+03  1,674E+02    4,60 um     3190 A      4009 A   
  20,00 MeV   7,106E+03  1,544E+02    4,88 um     3249 A      4103 A   
  22,50 MeV   7,519E+03  1,410E+02    5,22 um     3320 A      4205 A   
  25,00 MeV   7,882E+03  1,299E+02    5,54 um     3381 A      4293 A   
  27,50 MeV   8,206E+03  1,206E+02    5,84 um     3435 A      4371 A   
  30,00 MeV   8,500E+03  1,126E+02    6,13 um     3484 A      4441 A   
  32,50 MeV   8,769E+03  1,057E+02    6,42 um     3528 A      4505 A   
  35,00 MeV   9,019E+03  9,970E+01    6,70 um     3569 A      4563 A   
  37,50 MeV   9,252E+03  9,437E+01    6,97 um     3606 A      4616 A   
  40,00 MeV   9,471E+03  8,963E+01    7,23 um     3641 A      4666 A   
  45,00 MeV   9,873E+03  8,155E+01    7,74 um     3739 A      4755 A   
  50,00 MeV   1,024E+04  7,491E+01    8,23 um     3827 A      4833 A   
  55,00 MeV   1,057E+04  6,934E+01    8,71 um     3906 A      4904 A   
  60,00 MeV   1,087E+04  6,461E+01    9,17 um     3979 A      4968 A   
  65,00 MeV   1,115E+04  6,052E+01    9,62 um     4046 A      5026 A   
  70,00 MeV   1,140E+04  5,696E+01   10,06 um     4108 A      5080 A   
  80,00 MeV   1,186E+04  5,104E+01   10,92 um     4307 A      5177 A   
  90,00 MeV   1,225E+04  4,630E+01   11,74 um     4484 A      5263 A   
 100,00 MeV   1,258E+04  4,243E+01   12,54 um     4643 A      5339 A   
 110,00 MeV   1,287E+04  3,919E+01   13,33 um     4789 A      5409 A   
 120,00 MeV   1,311E+04  3,645E+01   14,09 um     4925 A      5474 A   
 130,00 MeV   1,331E+04  3,408E+01   14,85 um     5052 A      5534 A   
 140,00 MeV   1,349E+04  3,203E+01   15,59 um     5173 A      5590 A   
 150,00 MeV   1,363E+04  3,022E+01   16,33 um     5287 A      5643 A   
 160,00 MeV   1,375E+04  2,862E+01   17,06 um     5397 A      5693 A   
 170,00 MeV   1,385E+04  2,719E+01   17,78 um     5503 A      5741 A   
 180,00 MeV   1,397E+04  2,591E+01   18,50 um     5605 A      5787 A   
 200,00 MeV   1,404E+04  2,370E+01   19,92 um     5972 A      5874 A   
 225,00 MeV   1,403E+04  2,144E+01   21,70 um     6498 A      5976 A   
 250,00 MeV   1,400E+04  1,960E+01   23,48 um     6984 A      6072 A   
 275,00 MeV   1,392E+04  1,806E+01   25,27 um     7443 A      6164 A   
 300,00 MeV   1,382E+04  1,676E+01   27,07 um     7879 A      6253 A   
 325,00 MeV   1,369E+04  1,565E+01   28,88 um     8300 A      6339 A   
 350,00 MeV   1,355E+04  1,468E+01   30,72 um     8707 A      6424 A   
 375,00 MeV   1,340E+04  1,384E+01   32,57 um     9104 A      6507 A   
 400,00 MeV   1,324E+04  1,309E+01   34,44 um     9494 A      6589 A   
 450,00 MeV   1,291E+04  1,182E+01   38,26 um     1,09 um     6752 A   
 500,00 MeV   1,257E+04  1,079E+01   42,19 um     1,23 um     6914 A   
 550,00 MeV   1,224E+04  9,931E+00   46,21 um     1,36 um     7076 A   
 600,00 MeV   1,192E+04  9,206E+00   50,35 um     1,48 um     7240 A   
 650,00 MeV   1,160E+04  8,586E+00   54,60 um     1,60 um     7406 A   
 700,00 MeV   1,130E+04  8,048E+00   58,96 um     1,71 um     7574 A   
 800,00 MeV   1,072E+04  7,161E+00   68,05 um     2,14 um     7922 A   
 900,00 MeV   1,019E+04  6,458E+00   77,61 um     2,54 um     8285 A   
   1,00 GeV   9,707E+03  5,887E+00   87,66 um     2,91 um     8665 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  3,1747E-03                keV / (ug/cm2) 
  3,1747E-03                MeV / (mg/cm2) 
  3,1747E+00                keV / (mg/cm2) 
  1,2553E-01                 eV / (1E15 atoms/cm2)
  1,7575E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
