 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Ca- P- O- F-Cl- O- H.txt

 Ion = Strontium [38] , Mass = 87,91 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   3,437E+03  3,789E+02    2,37 um     2491 A      2804 A   
   7,00 MeV   3,651E+03  3,599E+02    2,50 um     2546 A      2896 A   
   8,00 MeV   4,064E+03  3,277E+02    2,73 um     2647 A      3057 A   
   9,00 MeV   4,458E+03  3,014E+02    2,95 um     2728 A      3193 A   
  10,00 MeV   4,831E+03  2,794E+02    3,15 um     2796 A      3309 A   
  11,00 MeV   5,181E+03  2,607E+02    3,33 um     2853 A      3410 A   
  12,00 MeV   5,509E+03  2,446E+02    3,51 um     2902 A      3500 A   
  13,00 MeV   5,816E+03  2,306E+02    3,68 um     2945 A      3579 A   
  14,00 MeV   6,104E+03  2,182E+02    3,84 um     2983 A      3650 A   
  15,00 MeV   6,373E+03  2,073E+02    3,99 um     3017 A      3715 A   
  16,00 MeV   6,625E+03  1,975E+02    4,14 um     3047 A      3773 A   
  17,00 MeV   6,861E+03  1,887E+02    4,28 um     3075 A      3827 A   
  18,00 MeV   7,083E+03  1,807E+02    4,42 um     3100 A      3877 A   
  20,00 MeV   7,488E+03  1,667E+02    4,69 um     3156 A      3967 A   
  22,50 MeV   7,933E+03  1,523E+02    5,00 um     3223 A      4063 A   
  25,00 MeV   8,325E+03  1,404E+02    5,30 um     3280 A      4147 A   
  27,50 MeV   8,674E+03  1,303E+02    5,59 um     3331 A      4221 A   
  30,00 MeV   8,989E+03  1,217E+02    5,87 um     3376 A      4288 A   
  32,50 MeV   9,277E+03  1,143E+02    6,14 um     3418 A      4348 A   
  35,00 MeV   9,543E+03  1,078E+02    6,40 um     3456 A      4402 A   
  37,50 MeV   9,791E+03  1,021E+02    6,66 um     3491 A      4453 A   
  40,00 MeV   1,002E+04  9,696E+01    6,90 um     3523 A      4499 A   
  45,00 MeV   1,045E+04  8,825E+01    7,39 um     3614 A      4583 A   
  50,00 MeV   1,083E+04  8,108E+01    7,85 um     3696 A      4657 A   
  55,00 MeV   1,117E+04  7,507E+01    8,30 um     3770 A      4724 A   
  60,00 MeV   1,149E+04  6,995E+01    8,74 um     3838 A      4784 A   
  65,00 MeV   1,177E+04  6,554E+01    9,17 um     3900 A      4839 A   
  70,00 MeV   1,203E+04  6,169E+01    9,58 um     3958 A      4890 A   
  80,00 MeV   1,250E+04  5,529E+01   10,39 um     4145 A      4981 A   
  90,00 MeV   1,289E+04  5,018E+01   11,18 um     4310 A      5062 A   
 100,00 MeV   1,323E+04  4,599E+01   11,94 um     4461 A      5135 A   
 110,00 MeV   1,351E+04  4,249E+01   12,68 um     4599 A      5201 A   
 120,00 MeV   1,375E+04  3,952E+01   13,42 um     4727 A      5262 A   
 130,00 MeV   1,396E+04  3,696E+01   14,13 um     4848 A      5319 A   
 140,00 MeV   1,413E+04  3,473E+01   14,84 um     4963 A      5372 A   
 150,00 MeV   1,427E+04  3,278E+01   15,55 um     5072 A      5423 A   
 160,00 MeV   1,439E+04  3,105E+01   16,24 um     5176 A      5471 A   
 170,00 MeV   1,449E+04  2,950E+01   16,93 um     5277 A      5517 A   
 180,00 MeV   1,459E+04  2,811E+01   17,62 um     5375 A      5561 A   
 200,00 MeV   1,471E+04  2,571E+01   18,98 um     5725 A      5644 A   
 225,00 MeV   1,468E+04  2,327E+01   20,68 um     6226 A      5741 A   
 250,00 MeV   1,464E+04  2,127E+01   22,38 um     6690 A      5833 A   
 275,00 MeV   1,456E+04  1,961E+01   24,09 um     7128 A      5921 A   
 300,00 MeV   1,445E+04  1,820E+01   25,81 um     7545 A      6006 A   
 325,00 MeV   1,433E+04  1,699E+01   27,55 um     7946 A      6089 A   
 350,00 MeV   1,419E+04  1,595E+01   29,30 um     8334 A      6170 A   
 375,00 MeV   1,404E+04  1,503E+01   31,07 um     8713 A      6249 A   
 400,00 MeV   1,388E+04  1,421E+01   32,86 um     9083 A      6328 A   
 450,00 MeV   1,355E+04  1,284E+01   36,50 um     1,05 um     6483 A   
 500,00 MeV   1,322E+04  1,172E+01   40,23 um     1,17 um     6638 A   
 550,00 MeV   1,289E+04  1,079E+01   44,06 um     1,29 um     6793 A   
 600,00 MeV   1,256E+04  1,000E+01   47,99 um     1,41 um     6949 A   
 650,00 MeV   1,225E+04  9,330E+00   52,02 um     1,52 um     7107 A   
 700,00 MeV   1,194E+04  8,746E+00   56,15 um     1,63 um     7267 A   
 800,00 MeV   1,136E+04  7,783E+00   64,73 um     2,04 um     7595 A   
 900,00 MeV   1,083E+04  7,020E+00   73,74 um     2,40 um     7938 A   
   1,00 GeV   1,033E+04  6,400E+00   83,19 um     2,75 um     8295 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  3,1747E-03                keV / (ug/cm2) 
  3,1747E-03                MeV / (mg/cm2) 
  3,1747E+00                keV / (mg/cm2) 
  1,2667E-01                 eV / (1E15 atoms/cm2)
  1,7114E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
