 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Titanium in Ca- P- O- F-Cl- O- H.txt

 Ion = Titanium [22] , Mass = 47,95 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   7,264E+01  9,452E+02     103 A        43 A        32 A   
  11,00 keV   7,618E+01  9,591E+02     110 A        46 A        34 A   
  12,00 keV   7,957E+01  9,709E+02     118 A        48 A        36 A   
  13,00 keV   8,282E+01  9,811E+02     125 A        51 A        38 A   
  14,00 keV   8,595E+01  9,899E+02     132 A        53 A        40 A   
  15,00 keV   8,896E+01  9,975E+02     139 A        56 A        42 A   
  16,00 keV   9,188E+01  1,004E+03     146 A        58 A        43 A   
  17,00 keV   9,471E+01  1,010E+03     153 A        61 A        45 A   
  18,00 keV   9,746E+01  1,015E+03     160 A        63 A        47 A   
  20,00 keV   1,027E+02  1,023E+03     174 A        68 A        51 A   
  22,50 keV   1,090E+02  1,029E+03     191 A        74 A        55 A   
  25,00 keV   1,149E+02  1,034E+03     209 A        80 A        59 A   
  27,50 keV   1,205E+02  1,036E+03     226 A        86 A        63 A   
  30,00 keV   1,258E+02  1,037E+03     243 A        91 A        68 A   
  32,50 keV   1,310E+02  1,037E+03     260 A        97 A        72 A   
  35,00 keV   1,359E+02  1,035E+03     277 A       103 A        76 A   
  37,50 keV   1,407E+02  1,033E+03     294 A       108 A        80 A   
