 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in Ca- P- O- F-Cl- O- H.txt

 Ion = Molybdenum [42] , Mass = 97,905 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   3,188E+03  4,842E+02    2,30 um     2488 A      2742 A   
   7,00 MeV   3,388E+03  4,605E+02    2,43 um     2552 A      2845 A   
   8,00 MeV   3,783E+03  4,203E+02    2,67 um     2672 A      3028 A   
   9,00 MeV   4,165E+03  3,872E+02    2,90 um     2769 A      3183 A   
  10,00 MeV   4,532E+03  3,595E+02    3,11 um     2849 A      3317 A   
  11,00 MeV   4,882E+03  3,359E+02    3,30 um     2917 A      3434 A   
  12,00 MeV   5,215E+03  3,156E+02    3,48 um     2976 A      3538 A   
  13,00 MeV   5,531E+03  2,978E+02    3,66 um     3027 A      3629 A   
  14,00 MeV   5,830E+03  2,821E+02    3,82 um     3071 A      3712 A   
  15,00 MeV   6,113E+03  2,681E+02    3,98 um     3111 A      3787 A   
  16,00 MeV   6,380E+03  2,557E+02    4,13 um     3147 A      3855 A   
  17,00 MeV   6,632E+03  2,444E+02    4,28 um     3179 A      3917 A   
  18,00 MeV   6,871E+03  2,342E+02    4,42 um     3208 A      3975 A   
  20,00 MeV   7,311E+03  2,164E+02    4,69 um     3271 A      4077 A   
  22,50 MeV   7,800E+03  1,979E+02    5,01 um     3344 A      4188 A   
  25,00 MeV   8,232E+03  1,826E+02    5,32 um     3407 A      4284 A   
  27,50 MeV   8,620E+03  1,697E+02    5,61 um     3461 A      4368 A   
  30,00 MeV   8,971E+03  1,587E+02    5,88 um     3510 A      4443 A   
