 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in Ca- P- O- F-Cl- O- H.txt

 Ion = Fluorine [9] , Mass = 18,998 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,00 MeV   2,859E+03  8,833E+00    3,32 um     2134 A      2737 A   
   6,50 MeV   2,874E+03  8,271E+00    3,49 um     2158 A      2769 A   
   7,00 MeV   2,881E+03  7,781E+00    3,67 um     2181 A      2799 A   
   8,00 MeV   2,879E+03  6,966E+00    4,01 um     2252 A      2856 A   
   9,00 MeV   2,863E+03  6,317E+00    4,36 um     2321 A      2908 A   
  10,00 MeV   2,838E+03  5,785E+00    4,71 um     2387 A      2958 A   
  11,00 MeV   2,809E+03  5,341E+00    5,06 um     2453 A      3006 A   
  12,00 MeV   2,777E+03  4,965E+00    5,42 um     2517 A      3052 A   
  13,00 MeV   2,745E+03  4,641E+00    5,78 um     2581 A      3097 A   
  14,00 MeV   2,712E+03  4,360E+00    6,14 um     2645 A      3141 A   
  15,00 MeV   2,680E+03  4,113E+00    6,51 um     2708 A      3185 A   
  16,00 MeV   2,648E+03  3,894E+00    6,89 um     2771 A      3228 A   
  17,00 MeV   2,617E+03  3,699E+00    7,27 um     2834 A      3270 A   
  18,00 MeV   2,588E+03  3,523E+00    7,65 um     2897 A      3313 A   
  20,00 MeV   2,531E+03  3,221E+00    8,43 um     3121 A      3397 A   
  22,50 MeV   2,465E+03  2,913E+00    9,43 um     3451 A      3502 A   
  25,00 MeV   2,404E+03  2,661E+00   10,45 um     3767 A      3607 A   
  27,50 MeV   2,348E+03  2,452E+00   11,50 um     4072 A      3713 A   
  30,00 MeV   2,295E+03  2,275E+00   12,58 um     4368 A      3820 A   
  32,50 MeV   2,245E+03  2,123E+00   13,68 um     4658 A      3929 A   
  35,00 MeV   2,198E+03  1,992E+00   14,80 um     4943 A      4038 A   
  37,50 MeV   2,154E+03  1,876E+00   15,95 um     5223 A      4150 A   
  40,00 MeV   2,117E+03  1,774E+00   17,12 um     5499 A      4262 A   
  45,00 MeV   2,030E+03  1,602E+00   19,53 um     6506 A      4492 A   
  50,00 MeV   1,949E+03  1,462E+00   22,04 um     7447 A      4729 A   
  55,00 MeV   1,875E+03  1,345E+00   24,65 um     8347 A      4975 A   
  60,00 MeV   1,808E+03  1,247E+00   27,37 um     9221 A      5228 A   
  65,00 MeV   1,744E+03  1,162E+00   30,18 um     1,01 um     5490 A   
  70,00 MeV   1,685E+03  1,089E+00   33,09 um     1,09 um     5760 A   
  80,00 MeV   1,578E+03  9,688E-01   39,22 um     1,40 um     6325 A   
  90,00 MeV   1,482E+03  8,735E-01   45,76 um     1,68 um     6924 A   
 100,00 MeV   1,397E+03  7,961E-01   52,70 um     1,95 um     7557 A   
 110,00 MeV   1,320E+03  7,319E-01   60,06 um     2,22 um     8226 A   
 120,00 MeV   1,251E+03  6,777E-01   67,84 um     2,48 um     8929 A   
 130,00 MeV   1,188E+03  6,314E-01   76,04 um     2,75 um     9668 A   
 140,00 MeV   1,130E+03  5,912E-01   84,67 um     3,01 um     1,04 um  
 150,00 MeV   1,078E+03  5,561E-01   93,73 um     3,28 um     1,13 um  
 160,00 MeV   1,029E+03  5,252E-01  103,22 um     3,55 um     1,21 um  
 170,00 MeV   9,850E+02  4,976E-01  113,15 um     3,83 um     1,30 um  
 180,00 MeV   9,441E+02  4,730E-01  123,51 um     4,10 um     1,39 um  
 200,00 MeV   8,714E+02  4,306E-01  145,56 um     5,17 um     1,59 um  
 225,00 MeV   7,945E+02  3,877E-01  175,60 um     6,71 um     1,85 um  
 250,00 MeV   7,301E+02  3,529E-01  208,42 um     8,18 um     2,14 um  
 275,00 MeV   6,758E+02  3,241E-01  244,00 um     9,62 um     2,45 um  
 300,00 MeV   6,295E+02  2,998E-01  282,33 um    11,06 um     2,79 um  
 325,00 MeV   5,897E+02  2,790E-01  323,35 um    12,51 um     3,15 um  
 350,00 MeV   5,554E+02  2,611E-01  367,02 um    13,98 um     3,53 um  
 375,00 MeV   5,256E+02  2,454E-01  413,27 um    15,46 um     3,93 um  
 400,00 MeV   4,996E+02  2,316E-01  462,04 um    16,95 um     4,36 um  
 450,00 MeV   4,566E+02  2,083E-01  566,71 um    22,56 um     5,27 um  
 500,00 MeV   4,227E+02  1,894E-01  680,50 um    27,76 um     6,25 um  
 550,00 MeV   3,956E+02  1,738E-01  802,74 um    32,76 um     7,31 um  
