 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Calcium in Ca- P- O- F-Cl- O- H.txt

 Ion = Calcium [20] , Mass = 39,963 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 MeV   4,408E+03  6,669E+01    2,54 um     2157 A      2666 A   
   7,00 MeV   4,572E+03  6,297E+01    2,65 um     2178 A      2706 A   
   8,00 MeV   4,867E+03  5,675E+01    2,86 um     2223 A      2776 A   
   9,00 MeV   5,123E+03  5,174E+01    3,06 um     2261 A      2836 A   
  10,00 MeV   5,345E+03  4,761E+01    3,24 um     2295 A      2888 A   
  11,00 MeV   5,539E+03  4,414E+01    3,43 um     2325 A      2934 A   
  12,00 MeV   5,710E+03  4,118E+01    3,60 um     2352 A      2976 A   
  13,00 MeV   5,861E+03  3,862E+01    3,77 um     2377 A      3015 A   
  14,00 MeV   5,996E+03  3,638E+01    3,94 um     2400 A      3050 A   
  15,00 MeV   6,116E+03  3,441E+01    4,10 um     2421 A      3082 A   
  16,00 MeV   6,224E+03  3,266E+01    4,26 um     2442 A      3113 A   
  17,00 MeV   6,321E+03  3,109E+01    4,42 um     2461 A      3141 A   
  18,00 MeV   6,409E+03  2,968E+01    4,58 um     2479 A      3168 A   
  20,00 MeV   6,561E+03  2,723E+01    4,88 um     2532 A      3218 A   
  22,50 MeV   6,713E+03  2,473E+01    5,26 um     2603 A      3275 A   
  25,00 MeV   6,832E+03  2,267E+01    5,63 um     2669 A      3326 A   
  27,50 MeV   6,925E+03  2,095E+01    5,99 um     2731 A      3373 A   
  30,00 MeV   6,998E+03  1,949E+01    6,34 um     2789 A      3416 A   
  32,50 MeV   7,053E+03  1,824E+01    6,70 um     2845 A      3458 A   
  35,00 MeV   7,094E+03  1,714E+01    7,05 um     2899 A      3497 A   
  37,50 MeV   7,124E+03  1,618E+01    7,40 um     2951 A      3534 A   
  40,00 MeV   7,143E+03  1,533E+01    7,75 um     3001 A      3569 A   
  45,00 MeV   7,160E+03  1,389E+01    8,45 um     3176 A      3637 A   
  50,00 MeV   7,153E+03  1,271E+01    9,14 um     3341 A      3701 A   
  55,00 MeV   7,128E+03  1,172E+01    9,84 um     3498 A      3762 A   
  60,00 MeV   7,090E+03  1,089E+01   10,54 um     3650 A      3820 A   
  65,00 MeV   7,043E+03  1,017E+01   11,25 um     3796 A      3877 A   
  70,00 MeV   6,988E+03  9,550E+00   11,96 um     3939 A      3932 A   
  80,00 MeV   6,864E+03  8,521E+00   13,40 um     4457 A      4040 A   
  90,00 MeV   6,747E+03  7,703E+00   14,87 um     4935 A      4146 A   
 100,00 MeV   6,565E+03  7,036E+00   16,37 um     5390 A      4249 A   
 110,00 MeV   6,406E+03  6,482E+00   17,91 um     5830 A      4353 A   
 120,00 MeV   6,251E+03  6,013E+00   19,49 um     6260 A      4458 A   
 130,00 MeV   6,101E+03  5,611E+00   21,11 um     6681 A      4563 A   
 140,00 MeV   5,957E+03  5,262E+00   22,76 um     7095 A      4669 A   
 150,00 MeV   5,819E+03  4,957E+00   24,46 um     7506 A      4776 A   
 160,00 MeV   5,687E+03  4,687E+00   26,20 um     7913 A      4885 A   
 170,00 MeV   5,560E+03  4,446E+00   27,97 um     8317 A      4996 A   
 180,00 MeV   5,439E+03  4,230E+00   29,79 um     8720 A      5109 A   
 200,00 MeV   5,212E+03  3,859E+00   33,54 um     1,02 um     5341 A   
 225,00 MeV   4,955E+03  3,482E+00   38,46 um     1,24 um     5643 A   
 250,00 MeV   4,724E+03  3,175E+00   43,63 um     1,44 um     5960 A   
 275,00 MeV   4,514E+03  2,920E+00   49,04 um     1,64 um     6291 A   
 300,00 MeV   4,324E+03  2,705E+00   54,69 um     1,82 um     6636 A   
 325,00 MeV   4,151E+03  2,521E+00   60,59 um     2,01 um     6997 A   
 350,00 MeV   3,992E+03  2,362E+00   66,73 um     2,19 um     7372 A   
 375,00 MeV   3,845E+03  2,223E+00   73,11 um     2,37 um     7762 A   
 400,00 MeV   3,710E+03  2,100E+00   79,72 um     2,55 um     8167 A   
 450,00 MeV   3,467E+03  1,892E+00   93,66 um     3,23 um     9019 A   
 500,00 MeV   3,255E+03  1,723E+00  108,54 um     3,86 um     9929 A   
 550,00 MeV   3,069E+03  1,584E+00  124,36 um     4,47 um     1,09 um  
 600,00 MeV   2,904E+03  1,466E+00  141,10 um     5,06 um     1,19 um  
 650,00 MeV   2,756E+03  1,365E+00  158,77 um     5,65 um     1,30 um  
 700,00 MeV   2,623E+03  1,278E+00  177,36 um     6,24 um     1,41 um  
 800,00 MeV   2,395E+03  1,135E+00  217,25 um     8,42 um     1,65 um  
 900,00 MeV   2,208E+03  1,021E+00  260,74 um    10,44 um     1,91 um  
   1,00 GeV   2,053E+03  9,295E-01  307,70 um    12,39 um     2,19 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  3,1747E-03                keV / (ug/cm2) 
  3,1747E-03                MeV / (mg/cm2) 
  3,1747E+00                keV / (mg/cm2) 
  1,2667E-01                 eV / (1E15 atoms/cm2)
  3,5691E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
