image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
Acquisition_2397_2_1.png,16,975.0,824.7,15.9,12.03,71.6,5.49
Acquisition_2397_2_1.png,17,303.7,811.3,13.7,11.38,172.04,4.73
Acquisition_2397_2_1.png,18,432.7,777.5,12.85,8.54,10.06,4.43
Acquisition_2397_2_1.png,19,698.9,774.0,15.63,12.58,153.61,5.39
Acquisition_2397_2_1.png,20,595.4,770.8,13.92,11.87,110.92,4.8
Acquisition_2397_2_1.png,21,8.1,732.9,23.93,18.52,8.21,8.25
Acquisition_2397_2_1.png,22,68.8,720.9,14.59,13.9,72.76,5.03
Acquisition_2397_2_1.png,23,853.8,708.8,13.29,11.58,170.89,4.59
Acquisition_2397_2_1.png,24,209.7,697.4,15.04,13.35,13.9,5.19
Acquisition_2397_2_1.png,25,394.8,694.3,14.09,11.04,146.72,4.86
Acquisition_2397_2_1.png,26,877.7,614.9,15.77,14.1,14.71,5.44
Acquisition_2397_2_1.png,27,216.8,579.3,11.08,8.41,62.67,3.82
Acquisition_2397_2_1.png,28,192.1,573.8,22.5,11.69,161.26,7.76
Acquisition_2397_2_1.png,29,413.6,510.3,17.57,10.71,137.83,6.06
Acquisition_2397_2_1.png,30,793.8,484.7,23.41,11.5,146.26,8.08
Acquisition_2397_2_1.png,31,904.5,469.0,16.31,9.45,6.28,5.63
Acquisition_2397_2_1.png,32,433.8,419.0,15.69,14.74,74.09,5.41
Acquisition_2397_2_1.png,33,950.6,377.6,20.35,11.72,146.42,7.02
Acquisition_2397_2_1.png,34,668.5,365.1,16.65,13.03,160.91,5.74
Acquisition_2397_2_1.png,35,930.9,308.4,18.64,10.91,6.1,6.43
Acquisition_2397_2_1.png,36,357.7,286.2,14.94,9.2,92.92,5.15
Acquisition_2397_2_1.png,37,707.4,283.4,12.16,9.42,4.77,4.19
Acquisition_2397_2_1.png,38,429.6,261.7,14.41,10.64,125.35,4.97
Acquisition_2397_2_1.png,39,913.4,229.8,15.49,13.51,105.82,5.34
Acquisition_2397_2_1.png,40,841.2,219.4,13.01,12.42,134.42,4.49
Acquisition_2397_2_1.png,41,1007.1,196.0,8.78,7.14,114.23,3.03
Acquisition_2397_2_1.png,42,223.7,164.1,15.33,9.09,81.82,5.29
Acquisition_2397_2_1.png,43,1007.9,148.9,11.17,9.52,129.1,3.86
Acquisition_2397_2_1.png,44,306.5,151.5,15.73,14.11,56.85,5.43
