,image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
0,Frame10_Acquisition_14003_0_0.png,1,6.3,868.1,14.91,14.08,141.55,5.14
1,Frame10_Acquisition_14003_0_0.png,2,38.8,588.6,8.47,7.88,11.78,2.92
2,Frame10_Acquisition_14003_0_0.png,3,3.4,373.8,10.91,6.83,167.39,3.76
3,Frame10_Acquisition_14003_0_0.png,4,38.6,371.6,18.65,13.82,172.1,6.43
4,Frame10_Acquisition_14003_0_0.png,5,7.8,311.6,14.16,9.81,68.63,4.89
5,Frame10_Acquisition_14003_0_0.png,6,49.9,201.0,13.8,11.26,109.77,4.76
6,Frame10_Acquisition_14003_0_0.png,7,870.7,154.5,12.83,9.91,125.36,4.43
7,Frame10_Acquisition_14003_0_0.png,8,30.6,132.1,17.29,14.68,126.77,5.97
8,Frame10_Acquisition_14003_0_0.png,9,890.6,108.3,15.7,14.63,97.03,5.42
9,Frame10_Acquisition_14003_0_0.png,10,38.1,96.9,14.6,12.77,36.8,5.04
10,Frame10_Acquisition_14003_0_1.png,1,8.8,869.0,6.83,5.45,61.73,2.36
11,Frame10_Acquisition_14003_1_0.png,1,260.5,686.0,6.84,4.9,48.98,2.36
12,Frame10_Acquisition_14003_1_0.png,2,252.2,550.2,19.65,16.93,167.95,6.78
13,Frame10_Acquisition_14003_1_0.png,3,370.6,466.4,13.22,12.41,168.02,4.56
14,Frame10_Acquisition_14003_1_0.png,4,276.3,442.1,13.45,9.68,143.15,4.64
15,Frame10_Acquisition_14003_1_0.png,5,314.8,315.0,12.68,10.75,65.02,4.38
16,Frame10_Acquisition_14003_1_0.png,6,900.1,309.8,13.96,13.31,27.88,4.81
17,Frame10_Acquisition_14003_1_0.png,7,333.6,306.5,7.23,5.65,165.68,2.5
18,Frame10_Acquisition_14003_1_0.png,8,712.3,292.5,10.03,6.35,59.29,3.46
19,Frame10_Acquisition_14003_1_0.png,9,742.8,293.5,11.86,9.25,38.48,4.09
20,Frame10_Acquisition_14003_1_0.png,10,822.6,289.9,13.25,11.76,20.68,4.57
21,Frame10_Acquisition_14003_1_0.png,11,799.7,283.9,10.46,8.28,168.79,3.61
22,Frame10_Acquisition_14003_1_0.png,12,719.3,273.7,13.72,12.29,125.86,4.73
23,Frame10_Acquisition_14003_1_0.png,13,791.2,232.7,9.0,8.04,109.69,3.11
24,Frame10_Acquisition_14003_1_0.png,14,681.6,183.8,15.08,10.4,128.91,5.2
25,Frame10_Acquisition_14003_1_0.png,15,787.1,172.1,8.8,3.43,125.83,3.03
26,Frame10_Acquisition_14003_1_0.png,16,690.2,103.3,13.19,10.96,132.43,4.55
27,Frame10_Acquisition_14003_1_0.png,17,900.2,101.4,16.82,14.69,94.91,5.8
28,Frame10_Acquisition_14003_1_0.png,18,624.6,67.4,16.8,11.01,172.18,5.8
29,Frame10_Acquisition_14003_1_0.png,19,601.3,28.4,17.17,14.9,159.4,5.92
30,Frame10_Acquisition_14003_1_1.png,1,872.3,149.7,13.41,10.71,142.98,4.63
31,Frame10_Acquisition_14003_1_1.png,2,859.4,96.9,15.79,15.03,43.26,5.45
32,Frame10_Acquisition_14003_1_1.png,3,837.9,14.0,19.04,13.38,167.65,6.57
33,Frame10_Acquisition_14003_2_0.png,1,419.0,1011.7,17.88,16.19,102.58,6.17
34,Frame10_Acquisition_14003_2_0.png,2,154.5,922.5,18.47,15.1,44.63,6.37
35,Frame10_Acquisition_14003_2_0.png,3,352.4,891.0,15.13,12.54,49.15,5.22
36,Frame10_Acquisition_14003_2_0.png,4,818.7,881.8,5.73,4.86,8.4,1.98
37,Frame10_Acquisition_14003_2_0.png,5,1001.8,849.6,15.46,11.77,153.71,5.33
38,Frame10_Acquisition_14003_2_0.png,6,657.4,786.9,11.87,11.4,4.36,4.1
