,image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
0,Frame10_Acquisition_2803_0_0.png,1,955.4,1018.6,15.02,6.67,103.45,5.18
1,Frame10_Acquisition_2803_0_0.png,2,959.8,995.3,8.3,7.16,5.38,2.86
2,Frame10_Acquisition_2803_0_0.png,3,987.4,983.3,25.03,16.75,130.2,8.63
3,Frame10_Acquisition_2803_0_0.png,4,317.7,963.1,6.12,5.56,49.88,2.11
4,Frame10_Acquisition_2803_0_0.png,5,403.6,937.5,18.2,15.27,126.71,6.28
5,Frame10_Acquisition_2803_0_0.png,6,639.8,904.2,10.8,9.21,101.65,3.73
6,Frame10_Acquisition_2803_0_0.png,7,616.1,908.7,20.61,15.18,129.8,7.11
7,Frame10_Acquisition_2803_0_0.png,8,855.3,875.9,16.22,14.63,27.49,5.59
8,Frame10_Acquisition_2803_0_0.png,9,113.6,847.5,13.79,13.68,63.12,4.76
9,Frame10_Acquisition_2803_0_0.png,10,171.7,835.8,12.84,11.11,152.89,4.43
10,Frame10_Acquisition_2803_0_0.png,11,144.1,831.9,9.57,7.7,5.52,3.3
11,Frame10_Acquisition_2803_0_0.png,12,111.2,826.9,9.81,7.08,55.0,3.38
12,Frame10_Acquisition_2803_0_0.png,13,404.1,823.5,5.92,5.27,57.26,2.04
13,Frame10_Acquisition_2803_0_0.png,14,268.9,830.2,26.23,11.72,30.62,9.05
14,Frame10_Acquisition_2803_0_0.png,15,489.0,777.7,8.91,7.67,62.4,3.07
15,Frame10_Acquisition_2803_0_0.png,16,1016.2,727.1,8.11,7.35,10.35,2.8
16,Frame10_Acquisition_2803_0_0.png,17,214.2,696.9,16.42,10.94,44.45,5.66
17,Frame10_Acquisition_2803_0_0.png,18,242.9,695.2,11.8,10.72,89.73,4.07
18,Frame10_Acquisition_2803_0_0.png,19,946.6,637.5,18.86,13.61,91.29,6.51
19,Frame10_Acquisition_2803_0_0.png,20,974.4,585.4,25.46,16.78,51.33,8.78
20,Frame10_Acquisition_2803_0_0.png,21,121.2,530.2,10.98,9.46,91.59,3.79
21,Frame10_Acquisition_2803_0_0.png,22,28.6,530.9,15.66,12.23,69.94,5.4
22,Frame10_Acquisition_2803_0_0.png,23,919.0,506.8,8.61,6.64,53.14,2.97
23,Frame10_Acquisition_2803_0_0.png,24,486.2,461.0,12.36,10.07,133.54,4.26
24,Frame10_Acquisition_2803_0_0.png,25,441.1,450.0,12.38,11.02,22.55,4.27
25,Frame10_Acquisition_2803_0_0.png,26,488.5,382.2,9.46,8.18,121.98,3.26
26,Frame10_Acquisition_2803_0_0.png,27,257.7,332.5,7.37,5.36,74.58,2.54
27,Frame10_Acquisition_2803_0_0.png,28,91.2,280.9,12.6,8.21,135.82,4.35
28,Frame10_Acquisition_2803_0_0.png,29,342.3,252.2,8.6,6.18,100.84,2.97
29,Frame10_Acquisition_2803_0_0.png,30,381.6,242.9,5.6,3.63,118.57,1.93
30,Frame10_Acquisition_2803_0_0.png,31,162.3,167.6,10.83,8.69,59.31,3.74
31,Frame10_Acquisition_2803_0_0.png,32,94.7,160.5,9.12,8.53,80.95,3.15
32,Frame10_Acquisition_2803_0_0.png,33,96.7,137.1,7.84,6.79,107.04,2.71
33,Frame10_Acquisition_2803_0_0.png,34,144.6,99.5,15.12,14.04,150.72,5.22
34,Frame10_Acquisition_2803_0_1.png,1,984.3,1017.0,14.66,11.1,92.19,5.06
35,Frame10_Acquisition_2803_0_1.png,2,218.2,983.3,10.21,8.87,20.45,3.52
36,Frame10_Acquisition_2803_0_1.png,3,185.4,975.5,9.11,5.41,99.22,3.14
37,Frame10_Acquisition_2803_0_1.png,4,634.5,981.4,25.37,12.0,133.84,8.75
38,Frame10_Acquisition_2803_0_1.png,5,175.5,955.4,13.53,11.26,98.47,4.67
39,Frame10_Acquisition_2803_0_1.png,6,940.0,904.2,12.0,7.41,70.57,4.14
40,Frame10_Acquisition_2803_0_1.png,7,259.4,897.5,16.79,14.75,75.31,5.79
41,Frame10_Acquisition_2803_0_1.png,8,205.5,884.7,17.95,15.75,137.44,6.19
42,Frame10_Acquisition_2803_0_1.png,9,391.7,873.1,7.9,6.64,99.22,2.73
43,Frame10_Acquisition_2803_0_1.png,10,29.2,875.9,16.91,15.92,142.3,5.83
44,Frame10_Acquisition_2803_0_1.png,11,259.6,872.7,19.85,14.84,57.02,6.85
45,Frame10_Acquisition_2803_0_1.png,12,564.0,814.5,9.98,9.24,0.0,3.44
46,Frame10_Acquisition_2803_0_1.png,13,300.3,818.7,24.84,19.11,53.53,8.57
47,Frame10_Acquisition_2803_0_1.png,14,482.7,789.9,15.14,13.24,73.91,5.22
48,Frame10_Acquisition_2803_0_1.png,15,84.5,776.2,15.86,15.03,67.96,5.47
49,Frame10_Acquisition_2803_0_1.png,16,799.3,772.2,19.56,16.27,156.52,6.75
50,Frame10_Acquisition_2803_0_1.png,17,747.9,759.9,32.21,14.47,157.18,11.11
51,Frame10_Acquisition_2803_0_1.png,18,866.5,700.1,14.8,12.75,26.37,5.11
52,Frame10_Acquisition_2803_0_1.png,19,547.3,695.8,19.14,16.9,64.86,6.6
53,Frame10_Acquisition_2803_0_1.png,20,549.0,618.0,9.96,6.65,57.48,3.44
54,Frame10_Acquisition_2803_0_1.png,21,166.6,523.4,15.22,13.17,175.71,5.25
55,Frame10_Acquisition_2803_0_1.png,22,196.7,497.2,19.37,13.09,117.07,6.68
56,Frame10_Acquisition_2803_0_1.png,23,540.8,421.1,16.04,15.57,52.64,5.54
57,Frame10_Acquisition_2803_0_1.png,24,353.7,412.2,4.57,3.57,159.44,1.58
58,Frame10_Acquisition_2803_0_1.png,25,581.9,415.9,17.88,13.3,114.03,6.17
59,Frame10_Acquisition_2803_0_1.png,26,433.4,352.4,6.06,4.47,37.74,2.09
60,Frame10_Acquisition_2803_0_1.png,27,54.7,343.7,15.13,11.8,41.1,5.22
61,Frame10_Acquisition_2803_0_1.png,28,7.3,328.1,11.81,8.78,148.85,4.07
62,Frame10_Acquisition_2803_0_1.png,29,395.2,300.2,27.3,15.14,172.23,9.42
63,Frame10_Acquisition_2803_0_1.png,30,43.1,250.8,21.01,15.87,143.69,7.25
64,Frame10_Acquisition_2803_0_1.png,31,851.3,222.0,7.18,4.7,102.24,2.48
65,Frame10_Acquisition_2803_0_1.png,32,405.9,213.9,7.64,6.22,74.74,2.64
66,Frame10_Acquisition_2803_0_1.png,33,436.3,201.0,10.03,9.28,107.15,3.46
67,Frame10_Acquisition_2803_1_0.png,1,729.2,1003.4,16.33,13.17,145.83,5.64
68,Frame10_Acquisition_2803_1_0.png,2,1018.0,923.6,11.26,7.43,165.55,3.88
69,Frame10_Acquisition_2803_1_0.png,3,444.6,922.2,24.27,9.13,19.35,8.37
70,Frame10_Acquisition_2803_1_0.png,4,446.0,876.7,6.56,4.97,114.77,2.26
71,Frame10_Acquisition_2803_1_0.png,5,697.8,737.3,11.62,8.14,179.65,4.01
72,Frame10_Acquisition_2803_1_0.png,6,20.1,676.9,4.51,4.12,135.0,1.56
73,Frame10_Acquisition_2803_1_0.png,7,719.0,657.6,18.14,12.47,124.94,6.26
74,Frame10_Acquisition_2803_1_0.png,8,145.9,656.7,26.26,18.74,112.47,9.06
75,Frame10_Acquisition_2803_1_0.png,9,208.3,631.2,10.59,9.61,104.09,3.65
76,Frame10_Acquisition_2803_1_0.png,10,86.3,603.4,9.0,5.97,5.49,3.1
