,image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
0,Frame10_Acquisition_4401_0_0.png,1,820.8,989.1,10.86,8.67,10.29,3.75
1,Frame10_Acquisition_4401_0_0.png,2,813.5,956.8,9.98,8.08,154.77,3.44
2,Frame10_Acquisition_4401_0_0.png,3,800.9,854.7,14.8,14.0,13.94,5.11
3,Frame10_Acquisition_4401_0_0.png,4,738.5,730.6,9.97,7.7,82.72,3.44
4,Frame10_Acquisition_4401_0_0.png,5,311.2,672.1,14.21,13.53,178.85,4.9
5,Frame10_Acquisition_4401_0_0.png,6,47.2,556.9,15.25,11.29,48.28,5.26
6,Frame10_Acquisition_4401_0_0.png,7,664.5,483.7,12.46,9.93,59.56,4.3
7,Frame10_Acquisition_4401_0_0.png,8,910.4,157.1,9.57,8.15,162.63,3.3
8,Frame10_Acquisition_4401_0_1.png,1,989.7,958.6,7.01,5.12,102.96,2.42
9,Frame10_Acquisition_4401_0_1.png,2,989.5,949.6,5.87,3.35,178.52,2.02
10,Frame10_Acquisition_4401_0_1.png,3,86.4,908.0,9.4,8.31,96.0,3.24
11,Frame10_Acquisition_4401_0_1.png,4,183.9,885.5,8.57,6.14,125.45,2.95
12,Frame10_Acquisition_4401_0_1.png,5,516.3,842.6,15.32,12.47,79.73,5.28
13,Frame10_Acquisition_4401_0_1.png,6,997.0,836.7,43.88,17.27,38.06,15.14
14,Frame10_Acquisition_4401_0_1.png,7,991.3,807.0,14.2,13.27,163.56,4.9
15,Frame10_Acquisition_4401_0_1.png,8,29.9,683.9,11.53,8.18,120.68,3.98
16,Frame10_Acquisition_4401_0_1.png,9,538.7,654.3,8.84,6.77,40.08,3.05
17,Frame10_Acquisition_4401_0_1.png,10,763.6,632.0,9.75,3.3,170.61,3.36
18,Frame10_Acquisition_4401_0_1.png,11,987.2,602.5,19.8,16.6,37.12,6.83
19,Frame10_Acquisition_4401_0_1.png,12,1016.8,599.5,17.89,14.64,163.16,6.17
20,Frame10_Acquisition_4401_0_1.png,13,630.7,582.3,6.37,3.58,144.81,2.2
21,Frame10_Acquisition_4401_0_1.png,14,1010.4,513.4,13.29,10.04,74.65,4.59
22,Frame10_Acquisition_4401_0_1.png,15,817.5,507.0,7.93,6.03,121.37,2.74
23,Frame10_Acquisition_4401_0_1.png,16,346.2,484.9,16.36,13.25,63.34,5.64
24,Frame10_Acquisition_4401_0_1.png,17,575.8,407.8,9.81,8.43,31.6,3.38
25,Frame10_Acquisition_4401_0_1.png,18,863.6,404.0,17.27,14.63,39.66,5.96
26,Frame10_Acquisition_4401_0_1.png,19,932.1,394.5,17.63,14.02,92.79,6.08
27,Frame10_Acquisition_4401_0_1.png,20,135.0,387.5,10.43,7.89,77.86,3.6
28,Frame10_Acquisition_4401_0_1.png,21,862.9,328.3,20.14,16.82,137.72,6.95
29,Frame10_Acquisition_4401_0_1.png,22,221.8,330.6,24.49,22.69,148.22,8.45
30,Frame10_Acquisition_4401_0_1.png,23,117.7,323.6,15.9,13.53,76.54,5.49
31,Frame10_Acquisition_4401_0_1.png,24,45.4,317.8,13.37,9.31,170.15,4.61
32,Frame10_Acquisition_4401_0_1.png,25,922.1,314.4,12.81,12.33,121.03,4.42
33,Frame10_Acquisition_4401_0_1.png,26,1017.6,302.8,19.23,15.61,173.41,6.63
34,Frame10_Acquisition_4401_0_1.png,27,255.9,281.9,15.71,13.4,143.25,5.42
35,Frame10_Acquisition_4401_0_1.png,28,420.0,232.7,6.9,5.54,90.0,2.38
36,Frame10_Acquisition_4401_0_1.png,29,70.9,167.1,15.19,14.89,164.89,5.24
37,Frame10_Acquisition_4401_0_1.png,30,97.4,151.4,20.63,12.65,90.32,7.12
38,Frame10_Acquisition_4401_0_1.png,31,767.0,133.6,10.1,8.62,93.31,3.48
39,Frame10_Acquisition_4401_0_1.png,32,215.5,119.0,11.81,10.1,57.09,4.08
40,Frame10_Acquisition_4401_0_1.png,33,150.1,76.6,13.66,10.31,104.09,4.71
41,Frame10_Acquisition_4401_0_1.png,34,815.8,32.6,17.47,13.8,134.32,6.03
42,Frame10_Acquisition_4401_0_1.png,35,713.2,27.7,21.41,17.21,3.96,7.39
43,Frame10_Acquisition_4401_1_0.png,1,632.1,1009.1,21.63,13.87,53.41,7.46
44,Frame10_Acquisition_4401_1_0.png,2,231.8,995.0,17.97,15.69,177.38,6.2
45,Frame10_Acquisition_4401_1_0.png,3,835.7,990.9,22.58,18.98,104.57,7.79
46,Frame10_Acquisition_4401_1_0.png,4,247.2,955.9,13.81,11.76,131.26,4.77
47,Frame10_Acquisition_4401_1_0.png,5,967.1,917.8,9.94,6.73,111.86,3.43
