,image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
56,Frame10_Acquisition_3925_3_1.png,3,384.6,978.9,15.09,12.44,22.26,5.21
57,Frame10_Acquisition_3925_3_1.png,4,223.3,921.2,14.74,12.13,43.5,5.08
58,Frame10_Acquisition_3925_3_1.png,5,536.3,894.2,11.93,9.11,169.89,4.11
59,Frame10_Acquisition_3925_3_1.png,6,187.4,766.5,10.37,6.48,138.29,3.58
60,Frame10_Acquisition_3925_3_1.png,7,358.3,743.4,13.68,11.44,51.44,4.72
61,Frame10_Acquisition_3925_3_1.png,8,468.8,638.9,21.47,12.43,73.86,7.41
62,Frame10_Acquisition_3925_3_1.png,9,732.4,628.2,19.76,17.98,13.79,6.82
63,Frame10_Acquisition_3925_3_1.png,10,966.4,564.0,5.09,4.33,73.62,1.76
64,Frame10_Acquisition_3925_3_1.png,11,425.2,524.9,13.1,10.92,11.84,4.52
65,Frame10_Acquisition_3925_3_1.png,12,93.2,380.9,11.64,10.26,161.13,4.02
66,Frame10_Acquisition_3925_3_1.png,13,351.8,359.6,12.63,11.53,150.92,4.36
67,Frame10_Acquisition_3925_3_1.png,14,634.6,200.6,8.39,7.52,148.66,2.89
68,Frame10_Acquisition_3925_3_1.png,15,540.6,178.9,7.76,4.82,74.66,2.68
69,Frame10_Acquisition_3925_3_1.png,16,550.0,152.9,9.07,8.1,153.63,3.13
70,Frame11_Acquisition_3936_0_0.png,1,941.2,727.7,6.34,5.34,81.95,2.19
71,Frame11_Acquisition_3936_0_0.png,2,990.0,693.3,11.57,10.33,123.59,3.99
72,Frame11_Acquisition_3936_0_1.png,1,513.1,1016.2,11.41,7.66,154.61,3.94
73,Frame11_Acquisition_3936_0_1.png,2,296.3,988.8,25.85,19.12,60.54,8.92
74,Frame11_Acquisition_3936_0_1.png,3,424.9,972.3,9.42,8.54,70.1,3.25
75,Frame11_Acquisition_3936_0_1.png,4,651.6,925.7,12.35,8.35,160.36,4.26
76,Frame11_Acquisition_3936_0_1.png,5,378.7,844.6,16.89,14.59,27.97,5.83
77,Frame11_Acquisition_3936_0_1.png,6,358.2,822.0,16.59,13.19,89.38,5.72
78,Frame11_Acquisition_3936_0_1.png,7,126.5,648.0,15.83,12.43,90.49,5.46
79,Frame11_Acquisition_3936_0_1.png,8,89.0,620.3,19.28,16.96,40.98,6.65
80,Frame11_Acquisition_3936_0_1.png,9,442.8,478.0,13.87,11.44,124.66,4.78
81,Frame11_Acquisition_3936_0_1.png,10,307.3,381.8,20.1,13.74,101.38,6.94
82,Frame11_Acquisition_3936_1_0.png,1,815.6,858.2,10.11,9.86,86.96,3.49
83,Frame11_Acquisition_3936_1_0.png,2,1010.0,476.0,6.28,4.43,163.1,2.17
